Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
ASTRAZENECA PLC ORD SHS $0.25,AZN.L,AZN,Healthcare,United Kingdom,LSE,194901114880,FTSE 100,^FTSE,100,7.69
HSBC HOLDINGS PLC ORD $0.50 (UK,HSBA.L,HSBA,Financial Services,United Kingdom,LSE,184446025728,FTSE 100,^FTSE,100,7.28
SHELL PLC ORD EUR0.07,SHEL.L,SHEL,Energy,United Kingdom,LSE,166125830144,FTSE 100,^FTSE,100,6.56
UNILEVER PLC ORD 3 1/9P,ULVR.L,ULVR,Consumer Defensive,United Kingdom,LSE,113032265728,FTSE 100,^FTSE,100,4.46
ROLLS-ROYCE HOLDINGS PLC ORD SH,RR.L,RR,Industrials,United Kingdom,LSE,97426792448,FTSE 100,^FTSE,100,3.85
RIO TINTO PLC ORD 10P,RIO.L,RIO,Basic Materials,United Kingdom,LSE,87544553472,FTSE 100,^FTSE,100,3.46
BRITISH AMERICAN TOBACCO PLC OR,BATS.L,BATS,Consumer Defensive,United Kingdom,LSE,86582870016,FTSE 100,^FTSE,100,3.42
GSK PLC ORD 31 1/4P,GSK.L,GSK,Healthcare,United Kingdom,LSE,71399997440,FTSE 100,^FTSE,100,2.82
BP PLC $0.25,BP.L,BP,Energy,United Kingdom,LSE,69136621568,FTSE 100,^FTSE,100,2.73
RELX PLC ORD 14 51/116P,REL.L,REL,Industrials,United Kingdom,LSE,61779415040,FTSE 100,^FTSE,100,2.44
BARCLAYS PLC ORD 25P,BARC.L,BARC,Financial Services,United Kingdom,LSE,56715157504,FTSE 100,^FTSE,100,2.24
NATIONAL GRID PLC ORD 12 204/47,NG.L,NG,Utilities,United Kingdom,LSE,56927571968,FTSE 100,^FTSE,100,2.25
BAE SYSTEMS PLC ORD 2.5P,BA.L,BA,Industrials,United Kingdom,LSE,54537277440,FTSE 100,^FTSE,100,2.15
LLOYDS BANKING GROUP PLC ORD 10,LLOY.L,LLOY,Financial Services,United Kingdom,LSE,52566102016,FTSE 100,^FTSE,100,2.08
LONDON STOCK EXCHANGE GROUP PLC,LSEG.L,LSEG,Financial Services,United Kingdom,LSE,49936543744,FTSE 100,^FTSE,100,1.97
NATWEST GROUP PLC ORD 107.69P,NWG.L,NWG,Financial Services,United Kingdom,LSE,47363051520,FTSE 100,^FTSE,100,1.87
"""3i Group Plc""",III.L,III,Financial Services,United Kingdom,LSE,43490807808,FTSE 100,^FTSE,100,1.72
GLENCORE PLC ORD USD0.01,GLEN.L,GLEN,Basic Materials,Switzerland,LSE,42349170688,FTSE 100,^FTSE,100,1.67
COMPASS GROUP PLC ORD 11 1/20P,CPG.L,CPG,Consumer Cyclical,United Kingdom,LSE,42698149888,FTSE 100,^FTSE,100,1.69
RECKITT BENCKISER GROUP PLC ORD,RKT.L,RKT,Consumer Defensive,United Kingdom,LSE,39608725504,FTSE 100,^FTSE,100,1.56
DIAGEO PLC ORD 28 101/108P,DGE.L,DGE,Consumer Defensive,United Kingdom,LSE,39376195584,FTSE 100,^FTSE,100,1.55
STANDARD CHARTERED PLC ORD USD0,STAN.L,STAN,Financial Services,United Kingdom,LSE,36325281792,FTSE 100,^FTSE,100,1.43
EXPERIAN PLC ORD USD0.10,EXPN.L,EXPN,Industrials,Ireland,LSE,32536950784,FTSE 100,^FTSE,100,1.28
HALEON PLC ORD GBP0.01,HLN.L,HLN,Healthcare,United Kingdom,LSE,32182511616,FTSE 100,^FTSE,100,1.27
COCA-COLA EUROPACIFIC PARTNERS ,CCEP.L,CCEP,Consumer Defensive,United Kingdom,LSE,30643986432,FTSE 100,^FTSE,100,1.21
ANGLO AMERICAN PLC ORD USD0.549,AAL.L,AAL,Basic Materials,United Kingdom,LSE,30503553024,FTSE 100,^FTSE,100,1.2
TESCO PLC ORD 6 1/3P,TSCO.L,TSCO,Consumer Defensive,United Kingdom,LSE,29677633536,FTSE 100,^FTSE,100,1.17
ANTOFAGASTA PLC ORD 5P,ANTO.L,ANTO,Basic Materials,United Kingdom,LSE,27403722752,FTSE 100,^FTSE,100,1.08
PRUDENTIAL PLC ORD 5P,PRU.L,PRU,Financial Services,Hong Kong,LSE,27578193920,FTSE 100,^FTSE,100,1.09
IMPERIAL BRANDS PLC ORD 10P,IMB.L,IMB,Consumer Defensive,United Kingdom,LSE,24495054848,FTSE 100,^FTSE,100,0.97
VODAFONE GROUP PLC ORD USD0.20 ,VOD.L,VOD,Communication Services,United Kingdom,LSE,21551222784,FTSE 100,^FTSE,100,0.85
ASHTEAD GROUP PLC ORD 10P,AHT.L,AHT,Industrials,United Kingdom,LSE,21282531328,FTSE 100,^FTSE,100,0.84
