Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
AB INBEV,ABI.BR,ABI,Consumer Defensive,Belgium,BRU,102106292224,BEL 20,^BFX,20,31.23
KBC,KBC.BR,KBC,Financial Services,Belgium,BRU,41619320832,BEL 20,^BFX,20,12.73
ARGENX SE,ARGX.BR,ARGX,Healthcare,Netherlands,BRU,43603116032,BEL 20,^BFX,20,13.34
UCB,UCB.BR,UCB,Healthcare,Belgium,BRU,44717027328,BEL 20,^BFX,20,13.68
ELIA GROUP,ELI.BR,ELI,Utilities,Belgium,BRU,11602460672,BEL 20,^BFX,20,3.55
AGEAS,AGS.BR,AGS,Financial Services,Belgium,BRU,11118233600,BEL 20,^BFX,20,3.4
GBL,GBLB.BR,GBLB,Financial Services,Belgium,BRU,9506255872,BEL 20,^BFX,20,2.91
SOFINA,SOF.BR,SOF,Financial Services,Belgium,BRU,9006842880,BEL 20,^BFX,20,2.75
D'IETEREN GROUP,DIE.BR,DIE,Consumer Cyclical,Belgium,BRU,8417191424,BEL 20,^BFX,20,2.57
SYENSQO,SYENS.BR,SYENS,Basic Materials,Belgium,BRU,7380685312,BEL 20,^BFX,20,2.26
ACKERMANS V.HAAREN,ACKB.BR,ACKB,Industrials,Belgium,BRU,7102755328,BEL 20,^BFX,20,2.17
LOTUS BAKERIES,LOTB.BR,LOTB,Consumer Defensive,Belgium,BRU,6190048768,BEL 20,^BFX,20,1.89
WAREHOUSES DE PAUW,WDP.BR,WDP,Real Estate,Belgium,BRU,5264638464,BEL 20,^BFX,20,1.61
UMICORE,UMI.BR,UMI,Industrials,Belgium,BRU,3995646208,BEL 20,^BFX,20,1.22
AEDIFICA,AED.BR,AED,Real Estate,Belgium,BRU,3033462784,BEL 20,^BFX,20,0.93
COFINIMMO,COFB.BR,COFB,Real Estate,Belgium,BRU,2869649664,BEL 20,^BFX,20,0.88
SOLVAY,SOLB.BR,SOLB,Basic Materials,Belgium,BRU,2722359808,BEL 20,^BFX,20,0.83
MELEXIS,MELE.BR,MELE,Technology,Belgium,BRU,2592322048,BEL 20,^BFX,20,0.79
AZELIS GROUP NV,AZE.BR,AZE,Basic Materials,Belgium,BRU,2480776192,BEL 20,^BFX,20,0.76
MONTEA NV,MONT.BR,MONT,Real Estate,Belgium,BRU,1633552896,BEL 20,^BFX,20,0.5
