Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,149866086400,IBEX 35,^IBEX,35,15.24
BANCO SANTANDER S.A.,SAN.MC,SAN,Financial Services,Spain,MCE,131208593408,IBEX 35,^IBEX,35,13.34
ACCIONES IBERDROLA,IBE.MC,IBE,Utilities,Spain,MCE,117288943616,IBEX 35,^IBEX,35,11.92
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA.MC,BBVA,Financial Services,Spain,MCE,101638340608,IBEX 35,^IBEX,35,10.33
"CAIXABANK, S.A.",CABK.MC,CABK,Financial Services,Spain,MCE,65008275456,IBEX 35,^IBEX,35,6.61
FERROVIAL SE,FER.MC,FER,Industrials,Netherlands,MCE,38439399424,IBEX 35,^IBEX,35,3.91
"AENA, S.M.E., S.A.",AENA.MC,AENA,Industrials,Spain,MCE,35444998144,IBEX 35,^IBEX,35,3.6
"ENDESA,S.A.",ELE.MC,ELE,Utilities,Spain,MCE,32465743872,IBEX 35,^IBEX,35,3.3
"AMADEUS IT GROUP, S.A.",AMS.MC,AMS,Technology,Spain,MCE,28882622464,IBEX 35,^IBEX,35,2.94
ARCELORMITTAL SA,MTS.MC,MTS,Basic Materials,Luxembourg,MCE,25407952896,IBEX 35,^IBEX,35,2.58
"TELEFONICA,S.A.",TEF.MC,TEF,Communication Services,Spain,MCE,24400910336,IBEX 35,^IBEX,35,2.48
"NATURGY ENERGY GROUP, S.A.",NTGY.MC,NTGY,Utilities,Spain,MCE,24972832768,IBEX 35,^IBEX,35,2.54
INTL CONSOLIDATED AIRLINES GROU,IAG.MC,IAG,Industrials,United Kingdom,MCE,22204000256,IBEX 35,^IBEX,35,2.26
"CELLNEX TELECOM, S.A.",CLNX.MC,CLNX,Real Estate,Spain,MCE,18479687680,IBEX 35,^IBEX,35,1.88
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS.MC,ACS,Industrials,Spain,MCE,18714363904,IBEX 35,^IBEX,35,1.9
"REPSOL,  S.A.",REP.MC,REP,Energy,Spain,MCE,17854828544,IBEX 35,^IBEX,35,1.82
BANCO DE SABADELL,SAB.MC,SAB,Financial Services,Spain,MCE,16546381824,IBEX 35,^IBEX,35,1.68
"BANKINTER, S.A.",BKT.MC,BKT,Financial Services,Spain,MCE,11871523840,IBEX 35,^IBEX,35,1.21
"MAPFRE, S.A.",MAP.MC,MAP,Financial Services,Spain,MCE,12123051008,IBEX 35,^IBEX,35,1.23
"ACCIONA, S.A.",ANA.MC,ANA,Industrials,Spain,MCE,10551821312,IBEX 35,^IBEX,35,1.07
"INDRA SISTEMAS S.A., SERIE A",IDR.MC,IDR,Technology,Spain,MCE,8701517824,IBEX 35,^IBEX,35,0.88
"REDEIA CORPORACION, S.A.",RED.MC,RED,Utilities,Spain,MCE,8343900160,IBEX 35,^IBEX,35,0.85
"PUIG BRANDS, S.A. CLASE B",PUIG.MC,PUIG,Non disponible,Non disponible,MCE,8494569472,IBEX 35,^IBEX,35,0.86
CORPORACI...N ACCIONA ENERG...A,ANE.MC,ANE,Utilities,Spain,MCE,7790702592,IBEX 35,^IBEX,35,0.79
"MERLIN PROPERTIES SOCIMI, S.A.",MRL.MC,MRL,Real Estate,Spain,MCE,7603614720,IBEX 35,^IBEX,35,0.77
GRIFOLS S.A.,GRF.MC,GRF,Healthcare,Spain,MCE,6868624384,IBEX 35,^IBEX,35,0.7
"UNICAJA BANCO, S.A.",UNI.MC,UNI,Financial Services,Spain,MCE,6132898304,IBEX 35,^IBEX,35,0.62
"FLUIDRA, S.A.",FDR.MC,FDR,Industrials,Spain,MCE,4724523520,IBEX 35,^IBEX,35,0.48
COMPA...IA DE DISTRIBUCION INTE,LOG.MC,LOG,Industrials,Spain,MCE,3804379904,IBEX 35,^IBEX,35,0.39
"ENAGAS,S.A.",ENG.MC,ENG,Utilities,Spain,MCE,3574211840,IBEX 35,^IBEX,35,0.36
"COLONIAL SFL, SOCIMI. S.A.",COL.MC,COL,Real Estate,Spain,MCE,3359801600,IBEX 35,^IBEX,35,0.34
LABORATORIOS FARMACEUTICOS ROVI,ROVI.MC,ROVI,Healthcare,Spain,MCE,3084314624,IBEX 35,^IBEX,35,0.31
"SACYR, S.A.",SCYR.MC,SCYR,Industrials,Spain,MCE,2992192512,IBEX 35,^IBEX,35,0.3
"ACERINOX, S.A.",ACX.MC,ACX,Basic Materials,Spain,MCE,2836391424,IBEX 35,^IBEX,35,0.29
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR.MC,SLR,Utilities,Spain,MCE,1901127680,IBEX 35,^IBEX,35,0.19
