Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,307061817344,STOXX 50,^STOXX50E,50,5.6
SAP SE                        I,SAP.DE,SAP,Technology,Germany,GER,266752622592,STOXX 50,^STOXX50E,50,4.87
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,227483598848,STOXX 50,^STOXX50E,50,4.15
ASML HOLDING,ASML.AS,ASML,Technology,Netherlands,AMS,366226898944,STOXX 50,^STOXX50E,50,6.68
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,196857987072,STOXX 50,^STOXX50E,50,3.59
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,149710258176,STOXX 50,^STOXX50E,50,2.73
SIEMENS AG                    N,SIE.DE,SIE,Industrials,Germany,GER,193102266368,STOXX 50,^STOXX50E,50,3.52
DEUTSCHE TELEKOM AG           N,DTE.DE,DTE,Communication Services,Germany,GER,132752629760,STOXX 50,^STOXX50E,50,2.42
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,139539808256,STOXX 50,^STOXX50E,50,2.55
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,167898054656,STOXX 50,^STOXX50E,50,3.06
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,107439661056,STOXX 50,^STOXX50E,50,1.96
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,115995656192,STOXX 50,^STOXX50E,50,2.12
Allianz SE                    v,ALV.DE,ALV,Financial Services,Germany,GER,136446615552,STOXX 50,^STOXX50E,50,2.49
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,147712425984,STOXX 50,^STOXX50E,50,2.7
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,129090502656,STOXX 50,^STOXX50E,50,2.36
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,98587172864,STOXX 50,^STOXX50E,50,1.8
AB INBEV,ABI.BR,ABI,Consumer Defensive,Belgium,BRU,102144581632,STOXX 50,^STOXX50E,50,1.86
PROSUS,PRX.AS,PRX,Communication Services,Netherlands,AMS,137337733120,STOXX 50,^STOXX50E,50,2.51
ACCIONES IBERDROLA,IBE.MC,IBE,Utilities,Spain,MCE,117222129664,STOXX 50,^STOXX50E,50,2.14
AXA,CS.PA,CS,Financial Services,France,PAR,84363640832,STOXX 50,^STOXX50E,50,1.54
BANCO SANTANDER S.A.,SAN.MC,SAN,Financial Services,Spain,MCE,131119890432,STOXX 50,^STOXX50E,50,2.39
INTESA SANPAOLO,ISP.MI,ISP,Financial Services,Italy,MIL,99441025024,STOXX 50,^STOXX50E,50,1.82
FERRARI,RACE.MI,RACE,Consumer Cyclical,Italy,MIL,61726441472,STOXX 50,^STOXX50E,50,1.13
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,73766494208,STOXX 50,^STOXX50E,50,1.35
MUENCHENER RUECKVERS.-GES. AG N,MUV2.DE,MUV2,Financial Services,Germany,GER,69624201216,STOXX 50,^STOXX50E,50,1.27
UNICREDIT,UCG.MI,UCG,Financial Services,Italy,MIL,98990096384,STOXX 50,^STOXX50E,50,1.81
ENEL,ENEL.MI,ENEL,Utilities,Italy,MIL,88539381760,STOXX 50,^STOXX50E,50,1.62
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA.MC,BBVA,Financial Services,Spain,MCE,101465677824,STOXX 50,^STOXX50E,50,1.85
VINCI,DG.PA,DG,Industrials,France,PAR,65007550464,STOXX 50,^STOXX50E,50,1.19
Mercedes-Benz Group AG        N,MBG.DE,MBG,Consumer Cyclical,Germany,GER,56060252160,STOXX 50,^STOXX50E,50,1.02
ING GROEP N.V.,INGA.AS,INGA,Financial Services,Netherlands,AMS,65558409216,STOXX 50,^STOXX50E,50,1.2
VOLKSWAGEN AG                 V,VOW3.DE,VOW3,Consumer Cyclical,Germany,GER,46934007808,STOXX 50,^STOXX50E,50,0.86
BAYERISCHE MOTOREN WERKE AG   S,BMW.DE,BMW,Consumer Cyclical,Germany,GER,50065866752,STOXX 50,^STOXX50E,50,0.91
ADYEN,ADYEN.AS,ADYEN,Technology,Netherlands,AMS,47269380096,STOXX 50,^STOXX50E,50,0.86
adidas AG                     N,ADS.DE,ADS,Consumer Cyclical,Germany,GER,29103501312,STOXX 50,^STOXX50E,50,0.53
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,42987859968,STOXX 50,^STOXX50E,50,0.78
DEUTSCHE BOERSE AG            N,DB1.DE,DB1,Financial Services,Germany,GER,40265158656,STOXX 50,^STOXX50E,50,0.73
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,49661763584,STOXX 50,^STOXX50E,50,0.91
INFINEON TECHNOLOGIES AG      N,IFX.DE,IFX,Technology,Germany,GER,44854984704,STOXX 50,^STOXX50E,50,0.82
BASF SE                       N,BAS.DE,BAS,Basic Materials,Germany,GER,38789013504,STOXX 50,^STOXX50E,50,0.71
ENI,ENI.MI,ENI,Energy,Italy,MIL,47652265984,STOXX 50,^STOXX50E,50,0.87
WOLTERS KLUWER,WKL.AS,WKL,Industrials,Netherlands,AMS,24295075840,STOXX 50,^STOXX50E,50,0.44
DEUTSCHE POST AG              N,DHL.DE,DHL,Industrials,Germany,GER,45035008000,STOXX 50,^STOXX50E,50,0.82
Nordea Bank Abp,NDA-SE.ST,NDA-SE,Financial Services,Finland,STO,558939635712,STOXX 50,^STOXX50E,50,10.2
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,26121338880,STOXX 50,^STOXX50E,50,0.48
KONINKLIJKE AHOLD DELHAIZE N.V.,AD.AS,AD,Consumer Defensive,Netherlands,AMS,32082616320,STOXX 50,^STOXX50E,50,0.59
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,38461358080,STOXX 50,^STOXX50E,50,0.7
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,21461178368,STOXX 50,^STOXX50E,50,0.39
Nokia Corporation,NOKIA.HE,NOKIA,Technology,Finland,HEL,33296599040,STOXX 50,^STOXX50E,50,0.61
Bayer AG                      N,BAYN.DE,BAYN,Healthcare,Germany,GER,26338789376,STOXX 50,^STOXX50E,50,0.48
