Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
LVMH,MC.PA,MC,Consumer Cyclical,France,PAR,307260424192,CAC 40,^FCHI,40,11.88
HERMES INTL,RMS.PA,RMS,Consumer Cyclical,France,PAR,229376540672,CAC 40,^FCHI,40,8.87
L'OREAL,OR.PA,OR,Consumer Defensive,France,PAR,199340474368,CAC 40,^FCHI,40,7.71
AIRBUS SE,AIR.PA,AIR,Industrials,Netherlands,PAR,164750819328,CAC 40,^FCHI,40,6.37
ESSILORLUXOTTICA,EL.PA,EL,Healthcare,France,PAR,146787532800,CAC 40,^FCHI,40,5.68
SCHNEIDER ELECTRIC SE,SU.PA,SU,Industrials,France,PAR,146452594688,CAC 40,^FCHI,40,5.66
SAFRAN,SAF.PA,SAF,Industrials,France,PAR,126632861696,CAC 40,^FCHI,40,4.9
TOTALENERGIES,TTE.PA,TTE,Energy,France,PAR,117702262784,CAC 40,^FCHI,40,4.55
SANOFI,SAN.PA,SAN,Healthcare,France,PAR,108165578752,CAC 40,^FCHI,40,4.18
AIR LIQUIDE,AI.PA,AI,Basic Materials,France,PAR,97892098048,CAC 40,^FCHI,40,3.79
AXA,CS.PA,CS,Financial Services,France,PAR,83693412352,CAC 40,^FCHI,40,3.24
BNP PARIBAS ACT.A,BNP.PA,BNP,Financial Services,France,PAR,77575380992,CAC 40,^FCHI,40,3.0
VINCI,DG.PA,DG,Industrials,France,PAR,66411450368,CAC 40,^FCHI,40,2.57
THALES,HO.PA,HO,Industrials,France,PAR,50696204288,CAC 40,^FCHI,40,1.96
DANONE,BN.PA,BN,Consumer Defensive,France,PAR,49598050304,CAC 40,^FCHI,40,1.92
CREDIT AGRICOLE,ACA.PA,ACA,Financial Services,France,PAR,49500254208,CAC 40,^FCHI,40,1.91
ENGIE,ENGI.PA,ENGI,Utilities,France,PAR,48930078720,CAC 40,^FCHI,40,1.89
SAINT GOBAIN,SGO.PA,SGO,Industrials,France,PAR,44240039936,CAC 40,^FCHI,40,1.71
KERING,KER.PA,KER,Consumer Cyclical,France,PAR,39961960448,CAC 40,^FCHI,40,1.55
LEGRAND,LR.PA,LR,Industrials,France,PAR,39008526336,CAC 40,^FCHI,40,1.51
SOCIETE GENERALE,GLE.PA,GLE,Financial Services,France,PAR,42083454976,CAC 40,^FCHI,40,1.63
ORANGE,ORA.PA,ORA,Communication Services,France,PAR,36462694400,CAC 40,^FCHI,40,1.41
STELLANTIS NV,STLAP.PA,STLAP,Consumer Cyclical,Netherlands,PAR,28023511040,CAC 40,^FCHI,40,1.08
DASSAULT SYSTEMES,DSY.PA,DSY,Technology,France,PAR,32852690944,CAC 40,^FCHI,40,1.27
CAPGEMINI,CAP.PA,CAP,Technology,France,PAR,22195001344,CAC 40,^FCHI,40,0.86
PUBLICIS GROUPE SA,PUB.PA,PUB,Communication Services,France,PAR,21906481152,CAC 40,^FCHI,40,0.85
PERNOD RICARD,RI.PA,RI,Consumer Defensive,France,PAR,21576884224,CAC 40,^FCHI,40,0.83
VEOLIA ENVIRON.,VIE.PA,VIE,Industrials,France,PAR,21361514496,CAC 40,^FCHI,40,0.83
MICHELIN,ML.PA,ML,Non disponible,Non disponible,PAR,20058052608,CAC 40,^FCHI,40,0.78
STMICROELECTRONICS,STMPA.PA,STMPA,Technology,Netherlands,PAR,19133403136,CAC 40,^FCHI,40,0.74
BOUYGUES,EN.PA,EN,Industrials,France,PAR,15371579392,CAC 40,^FCHI,40,0.59
UNIBAIL-RODAMCO-WESTFIELD,URW.PA,URW,Real Estate,France,PAR,12975067136,CAC 40,^FCHI,40,0.5
BUREAU VERITAS,BVI.PA,BVI,Industrials,France,PAR,12615833600,CAC 40,^FCHI,40,0.49
EURONEXT,ENX.PA,ENX,Financial Services,Netherlands,PAR,12659834880,CAC 40,^FCHI,40,0.49
EUROFINS SCIENT.,ERF.PA,ERF,Healthcare,Luxembourg,PAR,10848593920,CAC 40,^FCHI,40,0.42
ACCOR,AC.PA,AC,Consumer Cyclical,France,PAR,10617518080,CAC 40,^FCHI,40,0.41
RENAULT,RNO.PA,RNO,Consumer Cyclical,France,PAR,9815291904,CAC 40,^FCHI,40,0.38
CARREFOUR,CA.PA,CA,Consumer Defensive,France,PAR,9202223104,CAC 40,^FCHI,40,0.36
EDENRED,EDEN.PA,EDEN,Financial Services,France,PAR,6208574464,CAC 40,^FCHI,40,0.24
ARCELORMITTAL SA,MT.AS,MT,Basic Materials,Luxembourg,AMS,25560053760,CAC 40,^FCHI,40,0.99
