Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
UNICREDIT,UCG.MI,UCG,Financial Services,Italy,MIL,98974818304,FTSE MIB Index,FTSEMIB.MI,40,11.25
INTESA SANPAOLO,ISP.MI,ISP,Financial Services,Italy,MIL,99423248384,FTSE MIB Index,FTSEMIB.MI,40,11.31
ENEL,ENEL.MI,ENEL,Utilities,Italy,MIL,88589893632,FTSE MIB Index,FTSEMIB.MI,40,10.07
FERRARI,RACE.MI,RACE,Consumer Cyclical,Italy,MIL,61708677120,FTSE MIB Index,FTSEMIB.MI,40,7.02
GENERALI,G.MI,G,Financial Services,Italy,MIL,50227286016,FTSE MIB Index,FTSEMIB.MI,40,5.71
ENI,ENI.MI,ENI,Energy,Italy,MIL,47700000768,FTSE MIB Index,FTSEMIB.MI,40,5.42
STELLANTIS,STLAM.MI,STLAM,Consumer Cyclical,Netherlands,MIL,26132916224,FTSE MIB Index,FTSEMIB.MI,40,2.97
LEONARDO,LDO.MI,LDO,Industrials,Italy,MIL,29935833088,FTSE MIB Index,FTSEMIB.MI,40,3.4
POSTE ITALIANE,PST.MI,PST,Industrials,Italy,MIL,27111784448,FTSE MIB Index,FTSEMIB.MI,40,3.08
PRYSMIAN,PRY.MI,PRY,Industrials,Italy,MIL,25668440064,FTSE MIB Index,FTSEMIB.MI,40,2.92
BANCA MONTE PASCHI SIENA,BMPS.MI,BMPS,Financial Services,Italy,MIL,23302072320,FTSE MIB Index,FTSEMIB.MI,40,2.65
BPER BANCA,BPE.MI,BPE,Financial Services,Italy,MIL,20705613824,FTSE MIB Index,FTSEMIB.MI,40,2.35
BANCO BPM,BAMI.MI,BAMI,Financial Services,Italy,MIL,19152963584,FTSE MIB Index,FTSEMIB.MI,40,2.18
STMICROELECTRONICS,STMMI.MI,STMMI,Technology,Netherlands,MIL,19097868288,FTSE MIB Index,FTSEMIB.MI,40,2.17
TENARIS,TEN.MI,TEN,Energy,Luxembourg,MIL,18150346752,FTSE MIB Index,FTSEMIB.MI,40,2.06
SNAM,SRG.MI,SRG,Utilities,Italy,MIL,18080366592,FTSE MIB Index,FTSEMIB.MI,40,2.06
TERNA,TRN.MI,TRN,Utilities,Italy,MIL,17850339328,FTSE MIB Index,FTSEMIB.MI,40,2.03
MONCLER,MONC.MI,MONC,Consumer Cyclical,Italy,MIL,14319236096,FTSE MIB Index,FTSEMIB.MI,40,1.63
UNIPOL,UNI.MI,UNI,Financial Services,Italy,MIL,13881596928,FTSE MIB Index,FTSEMIB.MI,40,1.58
MEDIOBANCA,MB.MI,MB,Financial Services,Italy,MIL,13495316480,FTSE MIB Index,FTSEMIB.MI,40,1.53
BANCA MEDIOLANUM,BMED.MI,BMED,Financial Services,Italy,MIL,13010011136,FTSE MIB Index,FTSEMIB.MI,40,1.48
FINECOBANK,FBK.MI,FBK,Financial Services,Italy,MIL,12294708224,FTSE MIB Index,FTSEMIB.MI,40,1.4
TELECOM ITALIA,TIT.MI,TIT,Communication Services,Italy,MIL,11432937472,FTSE MIB Index,FTSEMIB.MI,40,1.3
RECORDATI ORD,REC.MI,REC,Healthcare,Italy,MIL,10516201472,FTSE MIB Index,FTSEMIB.MI,40,1.2
BUZZI,BZU.MI,BZU,Basic Materials,Italy,MIL,9512857600,FTSE MIB Index,FTSEMIB.MI,40,1.08
ITALGAS,IG.MI,IG,Utilities,Italy,MIL,9576887296,FTSE MIB Index,FTSEMIB.MI,40,1.09
INWIT,INW.MI,INW,Real Estate,Italy,MIL,8540542464,FTSE MIB Index,FTSEMIB.MI,40,0.97
A2A,A2A.MI,A2A,Utilities,Italy,MIL,8485687296,FTSE MIB Index,FTSEMIB.MI,40,0.96
CAMPARI,CPR.MI,CPR,Consumer Defensive,Italy,MIL,6995097088,FTSE MIB Index,FTSEMIB.MI,40,0.8
BCA POP SONDRIO,BPSO.MI,BPSO,Financial Services,Italy,MIL,6679834624,FTSE MIB Index,FTSEMIB.MI,40,0.76
IVECO GROUP,IVG.MI,IVG,Industrials,Italy,MIL,4912764416,FTSE MIB Index,FTSEMIB.MI,40,0.56
BRUNELLO CUCINELLI,BC.MI,BC,Consumer Cyclical,Italy,MIL,6092009472,FTSE MIB Index,FTSEMIB.MI,40,0.69
HERA,HER.MI,HER,Utilities,Italy,MIL,5851211264,FTSE MIB Index,FTSEMIB.MI,40,0.67
LOTTOMATICA GROUP,LTMC.MI,LTMC,Consumer Cyclical,Italy,MIL,5267027968,FTSE MIB Index,FTSEMIB.MI,40,0.6
NEXI,NEXI.MI,NEXI,Technology,Italy,MIL,5331361280,FTSE MIB Index,FTSEMIB.MI,40,0.61
AZIMUT,AZM.MI,AZM,Financial Services,Italy,MIL,4802454016,FTSE MIB Index,FTSEMIB.MI,40,0.55
INTERPUMP GROUP,IP.MI,IP,Industrials,Italy,MIL,4722857472,FTSE MIB Index,FTSEMIB.MI,40,0.54
SAIPEM,SPM.MI,SPM,Energy,Italy,MIL,4482406400,FTSE MIB Index,FTSEMIB.MI,40,0.51
DIASORIN,DIA.MI,DIA,Healthcare,Italy,MIL,4153633792,FTSE MIB Index,FTSEMIB.MI,40,0.47
AMPLIFON,AMP.MI,AMP,Healthcare,Italy,MIL,3229782016,FTSE MIB Index,FTSEMIB.MI,40,0.37
