Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
TOYOTA MOTOR CORP,7203.T,7203,Consumer Cyclical,Japan,JPX,40900495409152,Nikkei 225,^N225,200,5.09
SOFTBANK GROUP CORP,9984.T,9984,Communication Services,Japan,JPX,38556542173184,Nikkei 225,^N225,200,4.8
SONY GROUP CORPORATION,6758.T,6758,Technology,Japan,JPX,25840890937344,Nikkei 225,^N225,200,3.22
MITSUBISHI UFJ FINANCIAL GROUP ,8306.T,8306,Financial Services,Japan,JPX,26516142424064,Nikkei 225,^N225,200,3.3
HITACHI,6501.T,6501,Industrials,Japan,JPX,24129178697728,Nikkei 225,^N225,200,3.0
FAST RETAILING CO LTD,9983.T,9983,Consumer Cyclical,Japan,JPX,17384374009856,Nikkei 225,^N225,200,2.16
ADVANTEST CORP,6857.T,6857,Technology,Japan,JPX,16828218736640,Nikkei 225,^N225,200,2.1
SUMITOMO MITSUI FINANCIAL GROUP,8316.T,8316,Financial Services,Japan,JPX,16015089991680,Nikkei 225,^N225,200,1.99
TOKYO ELECTRON,8035.T,8035,Technology,Japan,JPX,15658215538688,Nikkei 225,^N225,200,1.95
MITSUBISHI HEAVY INDUSTRIES,7011.T,7011,Industrials,Japan,JPX,15623228751872,Nikkei 225,^N225,200,1.95
NINTENDO CO LTD,7974.T,7974,Communication Services,Japan,JPX,15187617775616,Nikkei 225,^N225,200,1.89
MITSUBISHI CORP,8058.T,8058,Industrials,Japan,JPX,13999139717120,Nikkei 225,^N225,200,1.74
KEYENCE CORP,6861.T,6861,Technology,Japan,JPX,13913677627392,Nikkei 225,^N225,200,1.73
NTT INC,9432.T,9432,Communication Services,Japan,JPX,13070263910400,Nikkei 225,^N225,200,1.63
ITOCHU CORP,8001.T,8001,Industrials,Japan,JPX,12552571453440,Nikkei 225,^N225,200,1.56
MIZUHO FINANCIAL GROUP,8411.T,8411,Financial Services,Japan,JPX,12799809945600,Nikkei 225,^N225,200,1.59
CHUGAI PHARMACEUTICAL CO,4519.T,4519,Healthcare,Japan,JPX,11600563011584,Nikkei 225,^N225,200,1.44
RECRUIT HOLDINGS CO LTD,6098.T,6098,Communication Services,Japan,JPX,10948146364416,Nikkei 225,^N225,200,1.36
TOKIO MARINE HOLDINGS INC,8766.T,8766,Financial Services,Japan,JPX,11014639714304,Nikkei 225,^N225,200,1.37
MITSUI & CO,8031.T,8031,Industrials,Japan,JPX,10927899410432,Nikkei 225,^N225,200,1.36
SOFTBANK CORP.,9434.T,9434,Communication Services,Japan,JPX,10428233023488,Nikkei 225,^N225,200,1.3
