Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
NVIDIA Corporation,NVDA,NVDA,Technology,United States,NMS,4534872047616,S&P 500,^GSPC,200,7.96
Apple Inc.,AAPL,AAPL,Technology,United States,NMS,3900351184896,S&P 500,^GSPC,200,6.85
Microsoft Corporation,MSFT,MSFT,Technology,United States,NMS,3892038860800,S&P 500,^GSPC,200,6.83
Alphabet Inc.,GOOG,GOOG,Communication Services,United States,NMS,3146676174848,S&P 500,^GSPC,200,5.52
Alphabet Inc.,GOOGL,GOOGL,Communication Services,United States,NMS,3146676436992,S&P 500,^GSPC,200,5.52
"Amazon.com, Inc.",AMZN,AMZN,Consumer Cyclical,United States,NMS,2391180050432,S&P 500,^GSPC,200,4.2
"Meta Platforms, Inc.",META,META,Communication Services,United States,NMS,1854864752640,S&P 500,^GSPC,200,3.26
Broadcom Inc.,AVGO,AVGO,Technology,United States,NMS,1672331132928,S&P 500,^GSPC,200,2.94
"Tesla, Inc.",TSLA,TSLA,Consumer Cyclical,United States,NMS,1442474229760,S&P 500,^GSPC,200,2.53
Berkshire Hathaway Inc. New,BRK-B,BRK-B,Financial Services,United States,NYQ,1061806342144,S&P 500,^GSPC,200,1.86
Walmart Inc.,WMT,WMT,Consumer Defensive,United States,NYQ,846477590528,S&P 500,^GSPC,200,1.49
JP Morgan Chase & Co.,JPM,JPM,Financial Services,United States,NYQ,817857822720,S&P 500,^GSPC,200,1.44
Oracle Corporation,ORCL,ORCL,Technology,United States,NYQ,807715078144,S&P 500,^GSPC,200,1.42
Eli Lilly and Company,LLY,LLY,Healthcare,United States,NYQ,739980279808,S&P 500,^GSPC,200,1.3
Visa Inc.,V,V,Financial Services,United States,NYQ,674244395008,S&P 500,^GSPC,200,1.18
Mastercard Incorporated,MA,MA,Financial Services,United States,NYQ,518604455936,S&P 500,^GSPC,200,0.91
Exxon Mobil Corporation,XOM,XOM,Energy,United States,NYQ,491936088064,S&P 500,^GSPC,200,0.86
"Netflix, Inc.",NFLX,NFLX,Communication Services,United States,NMS,463855517696,S&P 500,^GSPC,200,0.81
Johnson & Johnson,JNJ,JNJ,Healthcare,United States,NYQ,458729783296,S&P 500,^GSPC,200,0.81
Palantir Technologies Inc.,PLTR,PLTR,Technology,United States,NMS,438005596160,S&P 500,^GSPC,200,0.77
Costco Wholesale Corporation,COST,COST,Consumer Defensive,United States,NMS,413105029120,S&P 500,^GSPC,200,0.73
"Advanced Micro Devices, Inc.",AMD,AMD,Technology,United States,NMS,410449608704,S&P 500,^GSPC,200,0.72
AbbVie Inc.,ABBV,ABBV,Healthcare,United States,NYQ,402757615616,S&P 500,^GSPC,200,0.71
Bank of America Corporation,BAC,BAC,Financial Services,United States,NYQ,385307705344,S&P 500,^GSPC,200,0.68
"Home Depot, Inc. (The)",HD,HD,Consumer Cyclical,United States,NYQ,384896106496,S&P 500,^GSPC,200,0.68
Procter & Gamble Company (The),PG,PG,Consumer Defensive,United States,NYQ,356900634624,S&P 500,^GSPC,200,0.63
UnitedHealth Group Incorporated,UNH,UNH,Healthcare,United States,NYQ,328306688000,S&P 500,^GSPC,200,0.58
GE Aerospace,GE,GE,Industrials,United States,NYQ,320526286848,S&P 500,^GSPC,200,0.56
Chevron Corporation,CVX,CVX,Energy,United States,NYQ,313425756160,S&P 500,^GSPC,200,0.55
Coca-Cola Company (The),KO,KO,Consumer Defensive,United States,NYQ,299865145344,S&P 500,^GSPC,200,0.53
International Business Machines,IBM,IBM,Technology,United States,NYQ,287393677312,S&P 500,^GSPC,200,0.5
"Cisco Systems, Inc.",CSCO,CSCO,Technology,United States,NMS,279214292992,S&P 500,^GSPC,200,0.49
Wells Fargo & Company,WFC,WFC,Financial Services,United States,NYQ,272099639296,S&P 500,^GSPC,200,0.48
Morgan Stanley,MS,MS,Financial Services,United States,NYQ,260701274112,S&P 500,^GSPC,200,0.46
American Express Company,AXP,AXP,Financial Services,United States,NYQ,246305800192,S&P 500,^GSPC,200,0.43
"Micron Technology, Inc.",MU,MU,Technology,United States,NMS,245842526208,S&P 500,^GSPC,200,0.43
Philip Morris International Inc,PM,PM,Consumer Defensive,United States,NYQ,245357379584,S&P 500,^GSPC,200,0.43
"Caterpillar, Inc.",CAT,CAT,Industrials,United States,NYQ,244887977984,S&P 500,^GSPC,200,0.43
"T-Mobile US, Inc.",TMUS,TMUS,Communication Services,United States,NMS,243577192448,S&P 500,^GSPC,200,0.43
"Salesforce, Inc.",CRM,CRM,Technology,United States,NYQ,242598166528,S&P 500,^GSPC,200,0.43
RTX Corporation,RTX,RTX,Industrials,United States,NYQ,239528902656,S&P 500,^GSPC,200,0.42
"Goldman Sachs Group, Inc. (The)",GS,GS,Financial Services,United States,NYQ,242062147584,S&P 500,^GSPC,200,0.42
Abbott Laboratories,ABT,ABT,Healthcare,United States,NYQ,220777218048,S&P 500,^GSPC,200,0.39
"Merck & Company, Inc.",MRK,MRK,Healthcare,United States,NYQ,218531053568,S&P 500,^GSPC,200,0.38
McDonald's Corporation,MCD,MCD,Consumer Cyclical,United States,NYQ,218213105664,S&P 500,^GSPC,200,0.38
Thermo Fisher Scientific Inc,TMO,TMO,Healthcare,United States,NYQ,216182947840,S&P 500,^GSPC,200,0.38
Applovin Corporation,APP,APP,Communication Services,United States,NMS,209714954240,S&P 500,^GSPC,200,0.37
Linde plc,LIN,LIN,Basic Materials,United Kingdom,NMS,209133649920,S&P 500,^GSPC,200,0.37
"Pepsico, Inc.",PEP,PEP,Consumer Defensive,United States,NMS,207220408320,S&P 500,^GSPC,200,0.36
Walt Disney Company (The),DIS,DIS,Communication Services,United States,NYQ,200793243648,S&P 500,^GSPC,200,0.35
"Uber Technologies, Inc.",UBER,UBER,Technology,United States,NYQ,196175331328,S&P 500,^GSPC,200,0.34
"Intuitive Surgical, Inc.",ISRG,ISRG,Healthcare,United States,NMS,193735655424,S&P 500,^GSPC,200,0.34
"ServiceNow, Inc.",NOW,NOW,Technology,United States,NYQ,193027948544,S&P 500,^GSPC,200,0.34
"Arista Networks, Inc.",ANET,ANET,Technology,United States,NYQ,193331052544,S&P 500,^GSPC,200,0.34
Lam Research Corporation,LRCX,LRCX,Technology,United States,NMS,190991794176,S&P 500,^GSPC,200,0.34
Intuit Inc.,INTU,INTU,Technology,United States,NMS,190448910336,S&P 500,^GSPC,200,0.33
Blackstone Inc.,BX,BX,Financial Services,United States,NYQ,190204887040,S&P 500,^GSPC,200,0.33
"BlackRock, Inc.",BLK,BLK,Financial Services,United States,NYQ,176291315712,S&P 500,^GSPC,200,0.31
QUALCOMM Incorporated,QCOM,QCOM,Technology,United States,NMS,182286270464,S&P 500,^GSPC,200,0.32
"Applied Materials, Inc.",AMAT,AMAT,Technology,United States,NMS,182231957504,S&P 500,^GSPC,200,0.32
"Citigroup, Inc.",C,C,Financial Services,United States,NYQ,176747053056,S&P 500,^GSPC,200,0.31
AT&T Inc.,T,T,Communication Services,United States,NYQ,178720260096,S&P 500,^GSPC,200,0.31
Intel Corporation,INTC,INTC,Technology,United States,NMS,182442475520,S&P 500,^GSPC,200,0.32
"NextEra Energy, Inc.",NEE,NEE,Utilities,United States,NYQ,173824884736,S&P 500,^GSPC,200,0.31
Charles Schwab Corporation (The,SCHW,SCHW,Financial Services,United States,NYQ,171393007616,S&P 500,^GSPC,200,0.3
Boeing Company (The),BA,BA,Industrials,United States,NYQ,167375503360,S&P 500,^GSPC,200,0.29
Booking Holdings Inc. Common St,BKNG,BKNG,Consumer Cyclical,United States,NMS,166786449408,S&P 500,^GSPC,200,0.29
Verizon Communications Inc.,VZ,VZ,Communication Services,United States,NYQ,163677732864,S&P 500,^GSPC,200,0.29
Amphenol Corporation,APH,APH,Technology,United States,NYQ,163383672832,S&P 500,^GSPC,200,0.29
GE Vernova Inc.,GEV,GEV,Industrials,United States,NYQ,158556962816,S&P 500,^GSPC,200,0.28
"TJX Companies, Inc. (The)",TJX,TJX,Consumer Cyclical,United States,NYQ,157937139712,S&P 500,^GSPC,200,0.28
Danaher Corporation,DHR,DHR,Healthcare,United States,NYQ,157523017728,S&P 500,^GSPC,200,0.28
Amgen Inc.,AMGN,AMGN,Healthcare,United States,NMS,157072457728,S&P 500,^GSPC,200,0.28
KLA Corporation,KLAC,KLAC,Technology,United States,NMS,155759083520,S&P 500,^GSPC,200,0.27
Texas Instruments Incorporated,TXN,TXN,Technology,United States,NMS,153675415552,S&P 500,^GSPC,200,0.27
Accenture plc,ACN,ACN,Technology,Ireland,NYQ,153577390080,S&P 500,^GSPC,200,0.27
"Gilead Sciences, Inc.",GILD,GILD,Healthcare,United States,NMS,150063185920,S&P 500,^GSPC,200,0.26
Boston Scientific Corporation,BSX,BSX,Healthcare,United States,NYQ,149819916288,S&P 500,^GSPC,200,0.26
S&P Global Inc.,SPGI,SPGI,Financial Services,United States,NYQ,149429092352,S&P 500,^GSPC,200,0.26
Adobe Inc.,ADBE,ADBE,Technology,United States,NMS,147983466496,S&P 500,^GSPC,200,0.26
"Palo Alto Networks, Inc.",PANW,PANW,Technology,United States,NMS,146955436032,S&P 500,^GSPC,200,0.26
"Eaton Corporation, PLC",ETN,ETN,Industrials,Ireland,NYQ,146489704448,S&P 500,^GSPC,200,0.26
Stryker Corporation,SYK,SYK,Healthcare,United States,NYQ,145961107456,S&P 500,^GSPC,200,0.26
Capital One Financial Corporati,COF,COF,Financial Services,United States,NYQ,143038840832,S&P 500,^GSPC,200,0.25
"Pfizer, Inc.",PFE,PFE,Healthcare,United States,NYQ,140774227968,S&P 500,^GSPC,200,0.25
Honeywell International Inc.,HON,HON,Industrials,United States,NMS,137224527872,S&P 500,^GSPC,200,0.24
"Lowe's Companies, Inc.",LOW,LOW,Consumer Cyclical,United States,NYQ,136117813248,S&P 500,^GSPC,200,0.24
"CrowdStrike Holdings, Inc.",CRWD,CRWD,Technology,United States,NMS,132333666304,S&P 500,^GSPC,200,0.23
Union Pacific Corporation,UNP,UNP,Industrials,United States,NYQ,128484581376,S&P 500,^GSPC,200,0.23
Progressive Corporation (The),PGR,PGR,Financial Services,United States,NYQ,128474374144,S&P 500,^GSPC,200,0.23
Deere & Company,DE,DE,Industrials,United States,NYQ,127800934400,S&P 500,^GSPC,200,0.22
"Robinhood Markets, Inc.",HOOD,HOOD,Financial Services,United States,NMS,124227878912,S&P 500,^GSPC,200,0.22
Constellation Energy Corporatio,CEG,CEG,Utilities,United States,NMS,121585123328,S&P 500,^GSPC,200,0.21
"Prologis, Inc.",PLD,PLD,Real Estate,United States,NYQ,117410988032,S&P 500,^GSPC,200,0.21
Medtronic plc.,MDT,MDT,Healthcare,Ireland,NYQ,120142643200,S&P 500,^GSPC,200,0.21
Welltower Inc.,WELL,WELL,Real Estate,United States,NYQ,119010885632,S&P 500,^GSPC,200,0.21
"Analog Devices, Inc.",ADI,ADI,Technology,United States,NMS,117090304000,S&P 500,^GSPC,200,0.21
"Automatic Data Processing, Inc.",ADP,ADP,Technology,United States,NMS,113805844480,S&P 500,^GSPC,200,0.2
Chubb Limited,CB,CB,Financial Services,Switzerland,NYQ,111175835648,S&P 500,^GSPC,200,0.2
Lockheed Martin Corporation,LMT,LMT,Industrials,United States,NYQ,112322805760,S&P 500,^GSPC,200,0.2
"DoorDash, Inc.",DASH,DASH,Consumer Cyclical,United States,NMS,110280335360,S&P 500,^GSPC,200,0.19
ConocoPhillips,COP,COP,Energy,United States,NYQ,109944389632,S&P 500,^GSPC,200,0.19
"Altria Group, Inc.",MO,MO,Consumer Defensive,United States,NYQ,108638543872,S&P 500,^GSPC,200,0.19
Comcast Corporation,CMCSA,CMCSA,Communication Services,United States,NMS,108107808768,S&P 500,^GSPC,200,0.19
Vertex Pharmaceuticals Incorpor,VRTX,VRTX,Healthcare,United States,NMS,108040462336,S&P 500,^GSPC,200,0.19
KKR & Co. Inc.,KKR,KKR,Financial Services,United States,NYQ,112209715200,S&P 500,^GSPC,200,0.2
Dell Technologies Inc.,DELL,DELL,Technology,United States,NYQ,106320560128,S&P 500,^GSPC,200,0.19
Southern Company (The),SO,SO,Utilities,United States,NYQ,105472540672,S&P 500,^GSPC,200,0.19
"HCA Healthcare, Inc.",HCA,HCA,Healthcare,United States,NYQ,104604459008,S&P 500,^GSPC,200,0.18
CVS Health Corporation,CVS,CVS,Healthcare,United States,NYQ,103913979904,S&P 500,^GSPC,200,0.18
"Nike, Inc.",NKE,NKE,Consumer Cyclical,United States,NYQ,102158499840,S&P 500,^GSPC,200,0.18
McKesson Corporation,MCK,MCK,Healthcare,United States,NYQ,99715235840,S&P 500,^GSPC,200,0.18
Duke Energy Corporation (Holdin,DUK,DUK,Utilities,United States,NYQ,99046031360,S&P 500,^GSPC,200,0.17
Starbucks Corporation,SBUX,SBUX,Consumer Cyclical,United States,NMS,97858502656,S&P 500,^GSPC,200,0.17
Parker-Hannifin Corporation,PH,PH,Industrials,United States,NYQ,97692024832,S&P 500,^GSPC,200,0.17
