,Short_Name_Cryptos,Ticker_cryptos_Yf,Ticker_Cryptos,Prix_actuel,Capitalisation_Boursiere,Offre_En_Circulation,ATH,MAJ
0,Bitcoin,BTC-USD,btc,107854.0,2151307797026,19943812.0,126080.0,2025-11-03
1,Ethereum,ETH-USD,eth,3715.31,448288701447,120697887.06765,4946.05,2025-11-03
2,Tether,USDT-USD,usdt,1.0,183465190858,183453580925.9606,1.32,2025-11-03
3,XRP,XRP-USD,xrp,2.41,144539499183,60107199237.0,3.65,2025-11-03
4,BNB,BNB-USD,bnb,1019.02,140355565664,137737751.21,1369.99,2025-11-03
5,Solana,SOL-USD,sol,175.91,97271257085,552618273.4228299,293.31,2025-11-03
6,USDC,USDC-USD,usdc,0.999792,75750622205,75772694827.19708,1.17,2025-11-03
7,Lido Staked Ether,STETH-USD,steth,3712.94,31922912353,8596409.426278003,4932.89,2025-11-03
8,TRON,TRX-USD,trx,0.292208,27672453459,94667460153.1793,0.431288,2025-11-03
9,Dogecoin,DOGE-USD,doge,0.174716,26485561128,151591006383.7052,0.731578,2025-11-03
10,Cardano,ADA-USD,ada,0.577331,21120875032,36581028961.5495,3.09,2025-11-03
11,Wrapped stETH,WSTETH-USD,wsteth,4522.82,15099550614,3337498.454224574,7256.02,2025-11-03
12,Wrapped Bitcoin,WBTC-USD,wbtc,107979.0,13682841687,126773.55711131,125932.0,2025-11-03
13,Figure Heloc,FIGR_HELOC-USD,figr_heloc,1.017,13615786436,13388517687.169,1.37,2025-11-02
14,Wrapped Beacon ETH,WBETH-USD,wbeth,4016.89,13117407524,3264280.561369026,5330.78,2025-11-03
15,Chainlink,LINK-USD,link,16.09,11209606897,696849970.4525868,52.7,2025-11-03
16,Hyperliquid,HYPE-USD,hype,41.35,11203379358,270772999.4341414,59.3,2025-11-03
17,Bitcoin Cash,BCH-USD,bch,522.78,10436697226,19947909.27165078,3785.82,2025-11-03
18,Wrapped eETH,WEETH-USD,weeth,4009.04,9846903725,2455602.213205704,5296.78,2025-11-03
19,USDS,USDS-USD,usds,0.999364,9554315717,9556446770.905067,1.057,2025-11-03
20,Stellar,XLM-USD,xlm,0.291292,9337755642,32048598157.2936,0.875563,2025-11-03
21,Ethena USDe,USDE-USD,usde,0.998623,9232449876,9245071843.080513,1.032,2025-11-03
22,Binance Bridged USDT (BNB Smart Chain),BSC-USD-USD,bsc-usd,0.999763,8982117892,8984993194.453934,1.05,2025-11-03
23,LEO Token,LEO-USD,leo,9.59,8840747981,922341412.9,10.14,2025-11-03
24,WETH,WETH-USD,weth,3714.48,8203208932,2207888.517143608,4950.08,2025-11-03
25,Sui,SUI-USD,sui,2.18,8014619878,3681325480.198332,5.35,2025-11-03
26,WhiteBIT Coin,WBT-USD,wbt,54.79,7896559549,144118517.10815412,55.41,2025-11-03
27,Hedera,HBAR-USD,hbar,0.182868,7768622763,42475229929.29889,0.569229,2025-11-03
