Date,Close,Ticker_Stocks_Yf,Short_Name_Stocks
01-01-1999,0.0363,NVDA,NVIDIA Corporation
01-02-1999,0.0419,NVDA,NVIDIA Corporation
01-03-1999,0.0404,NVDA,NVIDIA Corporation
01-04-1999,0.0349,NVDA,NVIDIA Corporation
01-05-1999,0.0326,NVDA,NVIDIA Corporation
01-06-1999,0.0365,NVDA,NVIDIA Corporation
01-07-1999,0.0384,NVDA,NVIDIA Corporation
01-08-1999,0.0537,NVDA,NVIDIA Corporation
01-09-1999,0.0368,NVDA,NVIDIA Corporation
01-10-1999,0.0423,NVDA,NVIDIA Corporation
01-11-1999,0.0661,NVDA,NVIDIA Corporation
01-12-1999,0.0897,NVDA,NVIDIA Corporation
01-01-2000,0.0708,NVDA,NVIDIA Corporation
01-02-2000,0.1223,NVDA,NVIDIA Corporation
01-03-2000,0.1614,NVDA,NVIDIA Corporation
01-04-2000,0.1702,NVDA,NVIDIA Corporation
01-05-2000,0.218,NVDA,NVIDIA Corporation
01-06-2000,0.2428,NVDA,NVIDIA Corporation
01-07-2000,0.2292,NVDA,NVIDIA Corporation
01-08-2000,0.3032,NVDA,NVIDIA Corporation
01-09-2000,0.3128,NVDA,NVIDIA Corporation
01-10-2000,0.2374,NVDA,NVIDIA Corporation
01-11-2000,0.1547,NVDA,NVIDIA Corporation
01-12-2000,0.1252,NVDA,NVIDIA Corporation
01-01-2001,0.1972,NVDA,NVIDIA Corporation
01-02-2001,0.1707,NVDA,NVIDIA Corporation
01-03-2001,0.248,NVDA,NVIDIA Corporation
01-04-2001,0.3182,NVDA,NVIDIA Corporation
01-05-2001,0.3271,NVDA,NVIDIA Corporation
01-06-2001,0.3543,NVDA,NVIDIA Corporation
01-07-2001,0.3091,NVDA,NVIDIA Corporation
01-08-2001,0.3236,NVDA,NVIDIA Corporation
01-09-2001,0.2099,NVDA,NVIDIA Corporation
01-10-2001,0.3275,NVDA,NVIDIA Corporation
01-11-2001,0.4175,NVDA,NVIDIA Corporation
01-12-2001,0.5112,NVDA,NVIDIA Corporation
01-01-2002,0.5023,NVDA,NVIDIA Corporation
01-02-2002,0.3898,NVDA,NVIDIA Corporation
01-03-2002,0.3389,NVDA,NVIDIA Corporation
01-04-2002,0.266,NVDA,NVIDIA Corporation
01-05-2002,0.2557,NVDA,NVIDIA Corporation
01-06-2002,0.1313,NVDA,NVIDIA Corporation
01-07-2002,0.0846,NVDA,NVIDIA Corporation
01-08-2002,0.0772,NVDA,NVIDIA Corporation
01-09-2002,0.0654,NVDA,NVIDIA Corporation
