Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
INDUSTRIA DE DISE...O TEXTIL S.,ITX.MC,ITX,Consumer Cyclical,Spain,MCE,147545702400.0,IBEX 35,^IBEX,35,17.23
BANCO SANTANDER S.A.,SAN.MC,SAN,Financial Services,Spain,MCE,103226146816.0,IBEX 35,^IBEX,35,12.05
ACCIONES IBERDROLA,IBE.MC,IBE,Utilities,Spain,MCE,100308885504.0,IBEX 35,^IBEX,35,11.71
BANCO BILBAO VIZCAYA ARGENTARIA,BBVA.MC,BBVA,Financial Services,Spain,MCE,75037540352.0,IBEX 35,^IBEX,35,8.76
"CAIXABANK, S.A.",CABK.MC,CABK,Financial Services,Spain,MCE,52405067776.0,IBEX 35,^IBEX,35,6.12
"AENA, S.M.E., S.A.",AENA.MC,AENA,Industrials,Spain,MCE,35819999232.0,IBEX 35,^IBEX,35,4.18
"AMADEUS IT GROUP, S.A.",AMS.MC,AMS,Technology,Spain,MCE,32397277184.0,IBEX 35,^IBEX,35,3.78
FERROVIAL SE,FER.MC,FER,Industrials,Netherlands,MCE,32011022336.0,IBEX 35,^IBEX,35,3.74
"ENDESA,S.A.",ELE.MC,ELE,Utilities,Spain,MCE,28411813888.0,IBEX 35,^IBEX,35,3.32
"TELEFONICA,S.A.",TEF.MC,TEF,Communication Services,Spain,MCE,26342879232.0,IBEX 35,^IBEX,35,3.08
"NATURGY ENERGY GROUP, S.A.",NTGY.MC,NTGY,Utilities,Spain,MCE,24921440256.0,IBEX 35,^IBEX,35,2.91
"CELLNEX TELECOM, S.A.",CLNX.MC,CLNX,Real Estate,Spain,MCE,23198498816.0,IBEX 35,^IBEX,35,2.71
ARCELORMITTAL SA,MTS.MC,MTS,Basic Materials,Luxembourg,MCE,20485017600.0,IBEX 35,^IBEX,35,2.39
INTL CONSOLIDATED AIRLINES GROU,IAG.MC,IAG,Industrials,United Kingdom,MCE,18793148416.0,IBEX 35,^IBEX,35,2.19
"ACS,ACTIVIDADES DE CONSTRUCCION",ACS.MC,ACS,Industrials,Spain,MCE,14373339136.0,IBEX 35,^IBEX,35,1.68
BANCO DE SABADELL,SAB.MC,SAB,Financial Services,Spain,MCE,14515530752.0,IBEX 35,^IBEX,35,1.69
"REPSOL,  S.A.",REP.MC,REP,Energy,Spain,MCE,13873823744.0,IBEX 35,^IBEX,35,1.62
"MAPFRE, S.A.",MAP.MC,MAP,Financial Services,Spain,MCE,10312430592.0,IBEX 35,^IBEX,35,1.2
"BANKINTER, S.A.",BKT.MC,BKT,Financial Services,Spain,MCE,10042715136.0,IBEX 35,^IBEX,35,1.17
"REDEIA CORPORACION, S.A.",RED.MC,RED,Utilities,Spain,MCE,9727343616.0,IBEX 35,^IBEX,35,1.14
Non disponible,PUIG.MC,PUIG.MC,Non disponible,Non disponible,Non disponible,,IBEX 35,^IBEX,35,
"ACCIONA, S.A.",ANA.MC,ANA,Industrials,Spain,MCE,8253240832.0,IBEX 35,^IBEX,35,0.96
CORPORACI...N ACCIONA ENERG...A,ANE.MC,ANE,Utilities,Spain,MCE,6521677312.0,IBEX 35,^IBEX,35,0.76
"INDRA SISTEMAS S.A., SERIE A",IDR.MC,IDR,Technology,Spain,MCE,6196133888.0,IBEX 35,^IBEX,35,0.72
"MERLIN PROPERTIES SOCIMI, S.A.",MRL.MC,MRL,Real Estate,Spain,MCE,5995290112.0,IBEX 35,^IBEX,35,0.7
GRIFOLS S.A.,GRF.MC,GRF,Healthcare,Spain,MCE,6185049088.0,IBEX 35,^IBEX,35,0.72
"UNICAJA BANCO, S.A.",UNI.MC,UNI,Financial Services,Spain,MCE,4884011008.0,IBEX 35,^IBEX,35,0.57
"FLUIDRA, S.A.",FDR.MC,FDR,Industrials,Spain,MCE,4145865216.0,IBEX 35,^IBEX,35,0.48
"INMOBILIARIA COLONIAL, SOCIMI S",COL.MC,COL,Real Estate,Spain,MCE,3741196800.0,IBEX 35,^IBEX,35,0.44
COMPA...IA DE DISTRIBUCION INTE,LOG.MC,LOG,Industrials,Spain,MCE,3741730304.0,IBEX 35,^IBEX,35,0.44
"ENAGAS,S.A.",ENG.MC,ENG,Utilities,Spain,MCE,3655505920.0,IBEX 35,^IBEX,35,0.43
"SACYR, S.A.",SCYR.MC,SCYR,Industrials,Spain,MCE,2778683904.0,IBEX 35,^IBEX,35,0.32
LABORATORIOS FARMACEUTICOS ROVI,ROVI.MC,ROVI,Healthcare,Spain,MCE,2833460736.0,IBEX 35,^IBEX,35,0.33
"ACERINOX, S.A.",ACX.MC,ACX,Basic Materials,Spain,MCE,2676719360.0,IBEX 35,^IBEX,35,0.31
SOLARIA ENERGIA Y MEDIO AMBIENT,SLR.MC,SLR,Utilities,Spain,MCE,1185285248.0,IBEX 35,^IBEX,35,0.14
