Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
ASTRAZENECA PLC ORD SHS $0.25,AZN.L,AZN,Healthcare,United Kingdom,LSE,165842534400,FTSE 100,^FTSE,99,7.33
HSBC HOLDINGS PLC ORD $0.50 (UK,HSBA.L,HSBA,Financial Services,United Kingdom,LSE,153389219840,FTSE 100,^FTSE,99,6.78
SHELL PLC ORD EUR0.07,SHEL.L,SHEL,Energy,United Kingdom,LSE,147938508800,FTSE 100,^FTSE,99,6.54
UNILEVER PLC ORD 3 1/9P,ULVR.L,ULVR,Consumer Defensive,United Kingdom,LSE,113316126720,FTSE 100,^FTSE,99,5.01
RIO TINTO PLC ORD 10P,RIO.L,RIO,Basic Materials,United Kingdom,LSE,70989520896,FTSE 100,^FTSE,99,3.14
ROLLS-ROYCE HOLDINGS PLC ORD SH,RR.L,RR,Industrials,United Kingdom,LSE,75022639104,FTSE 100,^FTSE,99,3.32
RELX PLC ORD 14 51/116P,REL.L,REL,Industrials,United Kingdom,LSE,73599705088,FTSE 100,^FTSE,99,3.25
BRITISH AMERICAN TOBACCO PLC OR,BATS.L,BATS,Consumer Defensive,United Kingdom,LSE,74394476544,FTSE 100,^FTSE,99,3.29
GSK PLC ORD 31 1/4P,GSK.L,GSK,Healthcare,United Kingdom,LSE,60288675840,FTSE 100,^FTSE,99,2.67
LONDON STOCK EXCHANGE GROUP PLC,LSEG.L,LSEG,Financial Services,United Kingdom,LSE,59721854976,FTSE 100,^FTSE,99,2.64
BP PLC $0.25,BP.L,BP,Energy,United Kingdom,LSE,56707031040,FTSE 100,^FTSE,99,2.51
BAE SYSTEMS PLC ORD 2.5P,BA.L,BA,Industrials,United Kingdom,LSE,57380040704,FTSE 100,^FTSE,99,2.54
NATIONAL GRID PLC ORD 12 204/47,NG.L,NG,Utilities,United Kingdom,LSE,51001458688,FTSE 100,^FTSE,99,2.25
LLOYDS BANKING GROUP PLC ORD 10,LLOY.L,LLOY,Financial Services,United Kingdom,LSE,45923307520,FTSE 100,^FTSE,99,2.03
BARCLAYS PLC ORD 25P,BARC.L,BARC,Financial Services,United Kingdom,LSE,46491381760,FTSE 100,^FTSE,99,2.06
DIAGEO PLC ORD 28 101/108P,DGE.L,DGE,Consumer Defensive,United Kingdom,LSE,45112684544,FTSE 100,^FTSE,99,1.99
COMPASS GROUP PLC ORD 11 1/20P,CPG.L,CPG,Consumer Cyclical,United Kingdom,LSE,43955666944,FTSE 100,^FTSE,99,1.94
NATWEST GROUP PLC ORD 107.69P,NWG.L,NWG,Financial Services,United Kingdom,LSE,42792091648,FTSE 100,^FTSE,99,1.89
3I GROUP PLC ORD 73 19/22P,III.L,III,Financial Services,United Kingdom,LSE,39727116288,FTSE 100,^FTSE,99,1.76
HALEON PLC ORD GBP0.01,HLN.L,HLN,Healthcare,United Kingdom,LSE,35870973952,FTSE 100,^FTSE,99,1.59
GLENCORE PLC ORD USD0.01,GLEN.L,GLEN,Basic Materials,Switzerland,LSE,34517770240,FTSE 100,^FTSE,99,1.53
RECKITT BENCKISER GROUP PLC ORD,RKT.L,RKT,Consumer Defensive,United Kingdom,LSE,34374963200,FTSE 100,^FTSE,99,1.52
EXPERIAN PLC ORD USD0.10,EXPN.L,EXPN,Industrials,Ireland,LSE,34016284672,FTSE 100,^FTSE,99,1.5
COCA-COLA EUROPACIFIC PARTNERS ,CCEP.L,CCEP,Consumer Defensive,United Kingdom,LSE,31010527232,FTSE 100,^FTSE,99,1.37
STANDARD CHARTERED PLC ORD USD0,STAN.L,STAN,Financial Services,United Kingdom,LSE,26655670272,FTSE 100,^FTSE,99,1.18
TESCO PLC ORD 6 1/3P,TSCO.L,TSCO,Consumer Defensive,United Kingdom,LSE,25731608576,FTSE 100,^FTSE,99,1.14
IMPERIAL BRANDS PLC ORD 10P,IMB.L,IMB,Consumer Defensive,United Kingdom,LSE,23216547840,FTSE 100,^FTSE,99,1.03
PRUDENTIAL PLC ORD 5P,PRU.L,PRU,Financial Services,Hong Kong,LSE,22101518336,FTSE 100,^FTSE,99,0.98
SSE PLC ORD 50P,SSE.L,SSE,Utilities,United Kingdom,LSE,19139059712,FTSE 100,^FTSE,99,0.85
VODAFONE GROUP PLC ORD USD0.20 ,VOD.L,VOD,Communication Services,United Kingdom,LSE,18917361664,FTSE 100,^FTSE,99,0.84
ANTOFAGASTA PLC ORD 5P,ANTO.L,ANTO,Basic Materials,United Kingdom,LSE,18213707776,FTSE 100,^FTSE,99,0.81
BT GROUP PLC ORD 5P,BT-A.L,BT-A,Communication Services,United Kingdom,LSE,17225930752,FTSE 100,^FTSE,99,0.76
ASHTEAD GROUP PLC ORD 10P,AHT.L,AHT,Industrials,United Kingdom,LSE,18386585600,FTSE 100,^FTSE,99,0.81
AVIVA PLC ORD 32 17/19P,AV.L,AV,Financial Services,United Kingdom,LSE,16252409856,FTSE 100,^FTSE,99,0.72
INTERNATIONAL CONSOLIDATED AIRL,IAG.L,IAG,Industrials,United Kingdom,LSE,15825810432,FTSE 100,^FTSE,99,0.7
NEXT PLC ORD 10P,NXT.L,NXT,Consumer Cyclical,United Kingdom,LSE,15042243584,FTSE 100,^FTSE,99,0.67
ASSOCIATED BRITISH FOODS PLC OR,ABF.L,ABF,Consumer Defensive,United Kingdom,LSE,14813219840,FTSE 100,^FTSE,99,0.65
LEGAL & GENERAL GROUP PLC ORD 2,LGEN.L,LGEN,Financial Services,United Kingdom,LSE,14577898496,FTSE 100,^FTSE,99,0.64
COCA-COLA HBC AG ORD CHF6.70 (C,CCH.L,CCH,Consumer Defensive,Switzerland,LSE,14133190656,FTSE 100,^FTSE,99,0.62
INTERCONTINENTAL HOTELS GROUP P,IHG.L,IHG,Consumer Cyclical,United Kingdom,LSE,13124877312,FTSE 100,^FTSE,99,0.58
THE SAGE GROUP PLC ORD 1 4/77P,SGE.L,SGE,Technology,United Kingdom,LSE,12026254336,FTSE 100,^FTSE,99,0.53
SCOTTISH MORTGAGE INVESTMENT TR,SMT.L,SMT,Non disponible,Non disponible,LSE,11711315968,FTSE 100,^FTSE,99,0.52
HALMA PLC ORD 10P,HLMA.L,HLMA,Industrials,United Kingdom,LSE,11172308992,FTSE 100,^FTSE,99,0.49
ADMIRAL GROUP PLC ORD 0.1P,ADM.L,ADM,Financial Services,United Kingdom,LSE,9947459584,FTSE 100,^FTSE,99,0.44
INFORMA PLC ORD 0.1P,INF.L,INF,Communication Services,United Kingdom,LSE,10462531584,FTSE 100,^FTSE,99,0.46
SMITH & NEPHEW PLC ORD USD0.20,SN.L,SN,Healthcare,United Kingdom,LSE,9467986944,FTSE 100,^FTSE,99,0.42
SEGRO PLC ORD 10P,SGRO.L,SGRO,Real Estate,United Kingdom,LSE,9382392832,FTSE 100,^FTSE,99,0.41
RENTOKIL INITIAL PLC ORD 1P,RTO.L,RTO,Industrials,United Kingdom,LSE,8795990016,FTSE 100,^FTSE,99,0.39
FRESNILLO PLC ORD USD0.50,FRES.L,FRES,Basic Materials,Mexico,LSE,9197956096,FTSE 100,^FTSE,99,0.41
SEVERN TRENT PLC ORD 97 17/19P,SVT.L,SVT,Utilities,United Kingdom,LSE,7902527488,FTSE 100,^FTSE,99,0.35
UNITED UTILITIES GROUP PLC ORD ,UU.L,UU,Utilities,United Kingdom,LSE,7838302720,FTSE 100,^FTSE,99,0.35
