Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
AB INBEV,ABI.BR,ABI,Consumer Defensive,Belgium,BRU,121948839936,BEL 20,^BFX,20,39.15
KBC,KBC.BR,KBC,Financial Services,Belgium,BRU,34437529600,BEL 20,^BFX,20,11.06
ARGENX SE,ARGX.BR,ARGX,Healthcare,Netherlands,BRU,30981640192,BEL 20,^BFX,20,9.95
UCB,UCB.BR,UCB,Healthcare,Belgium,BRU,30758299648,BEL 20,^BFX,20,9.88
AGEAS,AGS.BR,AGS,Financial Services,Belgium,BRU,10710227968,BEL 20,^BFX,20,3.44
ELIA GROUP,ELI.BR,ELI,Utilities,Belgium,BRU,10216485888,BEL 20,^BFX,20,3.28
D'IETEREN GROUP,DIE.BR,DIE,Consumer Cyclical,Belgium,BRU,9522013184,BEL 20,^BFX,20,3.06
GBL,GBLB.BR,GBLB,Financial Services,Belgium,BRU,9035189248,BEL 20,^BFX,20,2.9
SOFINA,SOF.BR,SOF,Financial Services,Belgium,BRU,8366541824,BEL 20,^BFX,20,2.69
ACKERMANS V.HAAREN,ACKB.BR,ACKB,Industrials,Belgium,BRU,7323627520,BEL 20,^BFX,20,2.35
LOTUS BAKERIES,LOTB.BR,LOTB,Consumer Defensive,Belgium,BRU,7309764096,BEL 20,^BFX,20,2.35
SYENSQO,SYENS.BR,SYENS,Basic Materials,Belgium,BRU,7039388160,BEL 20,^BFX,20,2.26
WAREHOUSES DE PAUW,WDP.BR,WDP,Real Estate,Belgium,BRU,4854905856,BEL 20,^BFX,20,1.56
AZELIS GROUP NV,AZE.BR,AZE,Basic Materials,Belgium,BRU,3525271808,BEL 20,^BFX,20,1.13
AEDIFICA,AED.BR,AED,Real Estate,Belgium,BRU,3111630336,BEL 20,^BFX,20,1.0
SOLVAY,SOLB.BR,SOLB,Basic Materials,Belgium,BRU,3029485056,BEL 20,^BFX,20,0.97
COFINIMMO,COFB.BR,COFB,Real Estate,Belgium,BRU,2911055360,BEL 20,^BFX,20,0.93
MELEXIS,MELE.BR,MELE,Technology,Belgium,BRU,2542352384,BEL 20,^BFX,20,0.82
UMICORE,UMI.BR,UMI,Industrials,Belgium,BRU,2356713728,BEL 20,^BFX,20,0.76
MONTEA NV,MONT.BR,MONT,Real Estate,Belgium,BRU,1474966656,BEL 20,^BFX,20,0.47
