Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
Novo Nordisk B A/S,NOVO-B.CO,NOVO-B,Healthcare,Denmark,CPH,2099052806144,OMX Copenhagen 25,^OMXC25,25,44.58
DSV A/S,DSV.CO,DSV,Industrials,Denmark,CPH,369124311040,OMX Copenhagen 25,^OMXC25,25,7.84
Nordea Bank Abp,NDA-DK.CO,NDA-DK,Financial Services,Finland,CPH,330586128384,OMX Copenhagen 25,^OMXC25,25,7.02
Novonesis (Novozymes A/S) B,NSIS-B.CO,NSIS-B,Basic Materials,Denmark,CPH,218013843456,OMX Copenhagen 25,^OMXC25,25,4.63
Danske Bank A/S,DANSKE.CO,DANSKE,Financial Services,Denmark,CPH,210788614144,OMX Copenhagen 25,^OMXC25,25,4.48
A.P. Møller - Mærsk B A/S,MAERSK-B.CO,MAERSK-B,Industrials,Denmark,CPH,180696285184,OMX Copenhagen 25,^OMXC25,25,3.84
A.P. Møller - Mærsk A A/S,MAERSK-A.CO,MAERSK-A,Industrials,Denmark,CPH,180561199104,OMX Copenhagen 25,^OMXC25,25,3.83
Coloplast B A/S,COLO-B.CO,COLO-B,Healthcare,Denmark,CPH,141260029952,OMX Copenhagen 25,^OMXC25,25,3.0
Carlsberg B A/S,CARL-B.CO,CARL-B,Consumer Defensive,Denmark,CPH,127178563584,OMX Copenhagen 25,^OMXC25,25,2.7
ORSTED A/S,ORSTED.CO,ORSTED,Utilities,Denmark,CPH,111572393984,OMX Copenhagen 25,^OMXC25,25,2.37
Vestas Wind Systems A/S,VWS.CO,VWS,Industrials,Denmark,CPH,106100285440,OMX Copenhagen 25,^OMXC25,25,2.25
Tryg A/S,TRYG.CO,TRYG,Financial Services,Denmark,CPH,101201149952,OMX Copenhagen 25,^OMXC25,25,2.15
Pandora A/S,PNDORA.CO,PNDORA,Consumer Cyclical,Denmark,CPH,94252859392,OMX Copenhagen 25,^OMXC25,25,2.0
Genmab A/S,GMAB.CO,GMAB,Healthcare,Denmark,CPH,88228823040,OMX Copenhagen 25,^OMXC25,25,1.87
Rockwool A/S ser. B,ROCK-B.CO,ROCK-B,Industrials,Denmark,CPH,62935814144,OMX Copenhagen 25,^OMXC25,25,1.34
Demant A/S,DEMANT.CO,DEMANT,Healthcare,Denmark,CPH,54488981504,OMX Copenhagen 25,^OMXC25,25,1.16
Jyske Bank A/S,JYSK.CO,JYSK,Financial Services,Denmark,CPH,37654261760,OMX Copenhagen 25,^OMXC25,25,0.8
Zealand Pharma A/S,ZEAL.CO,ZEAL,Healthcare,Denmark,CPH,33240037376,OMX Copenhagen 25,^OMXC25,25,0.71
ISS A/S,ISS.CO,ISS,Industrials,Denmark,CPH,29589037056,OMX Copenhagen 25,^OMXC25,25,0.63
NKT A/S,NKT.CO,NKT,Industrials,Denmark,CPH,28122765312,OMX Copenhagen 25,^OMXC25,25,0.6
Royal UNIBREW A/S,RBREW.CO,RBREW,Consumer Defensive,Denmark,CPH,27728003072,OMX Copenhagen 25,^OMXC25,25,0.59
Ambu A/S,AMBU-B.CO,AMBU-B,Healthcare,Denmark,CPH,26599041024,OMX Copenhagen 25,^OMXC25,25,0.56
Sydbank A/S,SYDB.CO,SYDB,Financial Services,Denmark,CPH,22206480384,OMX Copenhagen 25,^OMXC25,25,0.47
Bavarian Nordic A/S,BAVA.CO,BAVA,Healthcare,Denmark,CPH,14029198336,OMX Copenhagen 25,^OMXC25,25,0.3
GN Store Nord A/S,GN.CO,GN,Healthcare,Denmark,CPH,13801199616,OMX Copenhagen 25,^OMXC25,25,0.29
