Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
SAP SE                        I,SAP.DE,SAP,Technology,Germany,GER,315620884480,DAX,^GDAXI,40,14.81
SIEMENS AG                    N,SIE.DE,SIE,Industrials,Germany,GER,170662985728,DAX,^GDAXI,40,8.01
DEUTSCHE TELEKOM AG           N,DTE.DE,DTE,Communication Services,Germany,GER,164409409536,DAX,^GDAXI,40,7.72
Allianz SE                    v,ALV.DE,ALV,Financial Services,Germany,GER,135482621952,DAX,^GDAXI,40,6.36
Airbus SE                     A,AIR.DE,AIR,Industrials,Netherlands,GER,135123058688,DAX,^GDAXI,40,6.34
RHEINMETALL AG                I,RHM.DE,RHM,Industrials,Germany,GER,81504460800,DAX,^GDAXI,40,3.83
MUENCHENER RUECKVERS.-GES. AG V,MUV2.DE,MUV2,Financial Services,Germany,GER,75321917440,DAX,^GDAXI,40,3.54
Siemens Energy AG             N,ENR.DE,ENR,Industrials,Germany,GER,69816238080,DAX,^GDAXI,40,3.28
Siemens Healthineers AG       N,SHL.DE,SHL,Healthcare,Germany,GER,51737567232,DAX,^GDAXI,40,2.43
DEUTSCHE BOERSE AG            N,DB1.DE,DB1,Financial Services,Germany,GER,51733508096,DAX,^GDAXI,40,2.43
MERCK KGAA                    I,MRK.DE,MRK,Healthcare,Germany,GER,50477723648,DAX,^GDAXI,40,2.37
Mercedes-Benz Group AG        N,MBG.DE,MBG,Consumer Cyclical,Germany,GER,49560670208,DAX,^GDAXI,40,2.33
BAYERISCHE MOTOREN WERKE AG   S,BMW.DE,BMW,Consumer Cyclical,Germany,GER,47876632576,DAX,^GDAXI,40,2.25
VOLKSWAGEN AG                 V,VOW3.DE,VOW3,Consumer Cyclical,Germany,GER,47157747712,DAX,^GDAXI,40,2.21
DEUTSCHE BANK AG              N,DBK.DE,DBK,Financial Services,Germany,GER,46937522176,DAX,^GDAXI,40,2.2
DEUTSCHE POST AG              N,DHL.DE,DHL,Industrials,Germany,GER,46359445504,DAX,^GDAXI,40,2.18
INFINEON TECHNOLOGIES AG      N,IFX.DE,IFX,Technology,Germany,GER,46661091328,DAX,^GDAXI,40,2.19
E.ON SE                       N,EOAN.DE,EOAN,Utilities,Germany,GER,40319827968,DAX,^GDAXI,40,1.89
adidas AG                     N,ADS.DE,ADS,Consumer Cyclical,Germany,GER,38673711104,DAX,^GDAXI,40,1.82
Dr. Ing. h.c. F. Porsche AG   I,P911.DE,P911,Consumer Cyclical,Germany,GER,38088912896,DAX,^GDAXI,40,1.79
BASF SE                       N,BAS.DE,BAS,Basic Materials,Germany,GER,37646577664,DAX,^GDAXI,40,1.77
HANNOVER RUECK SE NA O.N.,HNR1.DE,HNR1,Financial Services,Germany,GER,33863636992,DAX,^GDAXI,40,1.59
Commerzbank AG                I,CBK.DE,CBK,Financial Services,Germany,GER,30307198976,DAX,^GDAXI,40,1.42
Heidelberg Materials AG       I,HEI.DE,HEI,Basic Materials,Germany,GER,30886408192,DAX,^GDAXI,40,1.45
Daimler Truck Holding AG      N,DTG.DE,DTG,Industrials,Germany,GER,28998555648,DAX,^GDAXI,40,1.36
Henkel AG & Co. KGaA          I,HEN3.DE,HEN3,Consumer Defensive,Germany,GER,28136622080,DAX,^GDAXI,40,1.32
BEIERSDORF AG                 I,BEI.DE,BEI,Consumer Defensive,Germany,GER,26517823488,DAX,^GDAXI,40,1.24
RWE AG                        I,RWE.DE,RWE,Utilities,Germany,GER,24680939520,DAX,^GDAXI,40,1.16
Bayer AG                      N,BAYN.DE,BAYN,Healthcare,Germany,GER,24811116544,DAX,^GDAXI,40,1.16
Fresenius SE & Co. KGaA       I,FRE.DE,FRE,Healthcare,Germany,GER,24613457920,DAX,^GDAXI,40,1.16
Vonovia SE                    N,VNA.DE,VNA,Real Estate,Germany,GER,24076679168,DAX,^GDAXI,40,1.13
MTU Aero Engines AG           N,MTX.DE,MTX,Industrials,Germany,GER,19233587200,DAX,^GDAXI,40,0.9
CONTINENTAL AG                I,CON.DE,CON,Consumer Cyclical,Germany,GER,15232457728,DAX,^GDAXI,40,0.71
Symrise AG                    I,SY1.DE,SY1,Basic Materials,Germany,GER,14878729216,DAX,^GDAXI,40,0.7
Fresenius Medical Care AG     I,FME.DE,FME,Healthcare,Germany,GER,14641308672,DAX,^GDAXI,40,0.69
SARTORIUS AG                  V,SRT3.DE,SRT3,Healthcare,Germany,GER,12490374144,DAX,^GDAXI,40,0.59
Porsche Automobil Holding SE  I,PAH3.DE,PAH3,Consumer Cyclical,Germany,GER,10464561152,DAX,^GDAXI,40,0.49
Qiagen N.V.                   A,QIA.DE,QIA,Healthcare,Netherlands,GER,8705551360,DAX,^GDAXI,40,0.41
Brenntag SE                   N,BNR.DE,BNR,Basic Materials,Germany,GER,8691976192,DAX,^GDAXI,40,0.41
Zalando SE                    I,ZAL.DE,ZAL,Consumer Cyclical,Germany,GER,8050721280,DAX,^GDAXI,40,0.38
