Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
Nordea Bank Abp,NDA-FI.HE,NDA-FI,Financial Services,Finland,HEL,44121874432,OMX Helsinki 25,^OMXH25,25,18.28
KONE Corporation,KNEBV.HE,KNEBV,Industrials,Finland,HEL,28397907968,OMX Helsinki 25,^OMXH25,25,11.77
Sampo Plc A,SAMPO.HE,SAMPO,Financial Services,Finland,HEL,25222299648,OMX Helsinki 25,^OMXH25,25,10.45
Nokia Corporation,NOKIA.HE,NOKIA,Technology,Finland,HEL,25406904320,OMX Helsinki 25,^OMXH25,25,10.53
Fortum Corporation,FORTUM.HE,FORTUM,Utilities,Finland,HEL,13983859712,OMX Helsinki 25,^OMXH25,25,5.79
UPM-Kymmene Corporation,UPM.HE,UPM,Basic Materials,Finland,HEL,12671596544,OMX Helsinki 25,^OMXH25,25,5.25
Wärtsilä Corporation,WRT1V.HE,WRT1V,Industrials,Finland,HEL,10747801600,OMX Helsinki 25,^OMXH25,25,4.45
Metso Oyj,METSO.HE,METSO,Industrials,Finland,HEL,8906708992,OMX Helsinki 25,^OMXH25,25,3.69
Orion Corporation B,ORNBV.HE,ORNBV,Healthcare,Finland,HEL,8640730112,OMX Helsinki 25,^OMXH25,25,3.58
Kesko Corporation B,KESKOB.HE,KESKOB,Consumer Defensive,Finland,HEL,8292027392,OMX Helsinki 25,^OMXH25,25,3.44
Elisa Corporation,ELISA.HE,ELISA,Communication Services,Finland,HEL,7643676672,OMX Helsinki 25,^OMXH25,25,3.17
Neste Corporation,NESTE.HE,NESTE,Energy,Finland,HEL,7319828480,OMX Helsinki 25,^OMXH25,25,3.03
Stora Enso Oyj R,STERV.HE,STERV,Basic Materials,Finland,HEL,7003210752,OMX Helsinki 25,^OMXH25,25,2.9
Konecranes Plc,KCR.HE,KCR,Industrials,Finland,HEL,5390533632,OMX Helsinki 25,^OMXH25,25,2.23
Valmet Corporation,VALMT.HE,VALMT,Industrials,Finland,HEL,5314516480,OMX Helsinki 25,^OMXH25,25,2.2
Huhtamäki Oyj,HUH1V.HE,HUH1V,Consumer Cyclical,Finland,HEL,3394665216,OMX Helsinki 25,^OMXH25,25,1.41
Hiab Oyj,HIAB.HE,HIAB,Industrials,Finland,HEL,3173192192,OMX Helsinki 25,^OMXH25,25,1.31
Kemira Oyj,KEMIRA.HE,KEMIRA,Basic Materials,Finland,HEL,2951233792,OMX Helsinki 25,^OMXH25,25,1.22
Mandatum Oyj,MANTA.HE,MANTA,Financial Services,Finland,HEL,2730650112,OMX Helsinki 25,^OMXH25,25,1.13
Kojamo Plc,KOJAMO.HE,KOJAMO,Real Estate,Finland,HEL,2575240448,OMX Helsinki 25,^OMXH25,25,1.07
Kalmar Oyj B,KALMAR.HE,KALMAR,Industrials,Finland,HEL,1704038016,OMX Helsinki 25,^OMXH25,25,0.71
TietoEVRY Corporation,TIETO.HE,TIETO,Technology,Finland,HEL,1912106112,OMX Helsinki 25,^OMXH25,25,0.79
Outokumpu Oyj,OUT1V.HE,OUT1V,Basic Materials,Finland,HEL,1512290304,OMX Helsinki 25,^OMXH25,25,0.63
Qt Group Oyj,QTCOM.HE,QTCOM,Technology,Finland,HEL,1430794112,OMX Helsinki 25,^OMXH25,25,0.59
Nokian Tyres Plc,TYRES.HE,TYRES,Consumer Cyclical,Finland,HEL,885138240,OMX Helsinki 25,^OMXH25,25,0.37
