Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
Non disponible,RMS.PA,RMS.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,MC.PA,MC.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,OR.PA,OR.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,AIR.PA,AIR.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,SU.PA,SU.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,EL.PA,EL.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,SAF.PA,SAF.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,TTE.PA,TTE.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,SAN.PA,SAN.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,AI.PA,AI.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,CS.PA,CS.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,BNP.PA,BNP.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,DG.PA,DG.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,HO.PA,HO.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,SGO.PA,SGO.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,ACA.PA,ACA.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,BN.PA,BN.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,ENGI.PA,ENGI.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,DSY.PA,DSY.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,GLE.PA,GLE.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,ORA.PA,ORA.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,STLAP.PA,STLAP.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,LR.PA,LR.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,CAP.PA,CAP.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,PUB.PA,PUB.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,ML.PA,ML.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,STMPA.PA,STMPA.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,RI.PA,RI.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,VIE.PA,VIE.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,KER.PA,KER.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,EN.PA,EN.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,BVI.PA,BVI.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,RNO.PA,RNO.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,URW.PA,URW.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,AC.PA,AC.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,ERF.PA,ERF.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,CA.PA,CA.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,EDEN.PA,EDEN.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,TEP.PA,TEP.PA,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
Non disponible,MT.AS,MT.AS,Non disponible,Non disponible,Non disponible,,CAC 40,^FCHI,40,
