Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
FERRARI,RACE.MI,RACE,Consumer Cyclical,Italy,MIL,74577960960,FTSE MIB Index,FTSEMIB.MI,40,9.27
INTESA SANPAOLO,ISP.MI,ISP,Financial Services,Italy,MIL,86418857984,FTSE MIB Index,FTSEMIB.MI,40,10.74
UNICREDIT,UCG.MI,UCG,Financial Services,Italy,MIL,87681810432,FTSE MIB Index,FTSEMIB.MI,40,10.9
ENEL,ENEL.MI,ENEL,Utilities,Italy,MIL,81561747456,FTSE MIB Index,FTSEMIB.MI,40,10.14
GENERALI,G.MI,G,Financial Services,Italy,MIL,47715172352,FTSE MIB Index,FTSEMIB.MI,40,5.93
ENI,ENI.MI,ENI,Energy,Italy,MIL,40629022720,FTSE MIB Index,FTSEMIB.MI,40,5.05
STELLANTIS,STLAM.MI,STLAM,Consumer Cyclical,Netherlands,MIL,25074751488,FTSE MIB Index,FTSEMIB.MI,40,3.12
LEONARDO,LDO.MI,LDO,Industrials,Italy,MIL,30781736960,FTSE MIB Index,FTSEMIB.MI,40,3.83
POSTE ITALIANE,PST.MI,PST,Industrials,Italy,MIL,24409989120,FTSE MIB Index,FTSEMIB.MI,40,3.03
STMICROELECTRONICS,STMMI.MI,STMMI,Technology,Netherlands,MIL,21585565696,FTSE MIB Index,FTSEMIB.MI,40,2.68
TERNA,TRN.MI,TRN,Utilities,Italy,MIL,17932208128,FTSE MIB Index,FTSEMIB.MI,40,2.23
SNAM,SRG.MI,SRG,Utilities,Italy,MIL,17577056256,FTSE MIB Index,FTSEMIB.MI,40,2.19
TENARIS,TEN.MI,TEN,Energy,Luxembourg,MIL,16583686144,FTSE MIB Index,FTSEMIB.MI,40,2.06
PRYSMIAN,PRY.MI,PRY,Industrials,Italy,MIL,16963006464,FTSE MIB Index,FTSEMIB.MI,40,2.11
MEDIOBANCA,MB.MI,MB,Financial Services,Italy,MIL,16126511104,FTSE MIB Index,FTSEMIB.MI,40,2.0
BANCO BPM,BAMI.MI,BAMI,Financial Services,Italy,MIL,15189491712,FTSE MIB Index,FTSEMIB.MI,40,1.89
MONCLER,MONC.MI,MONC,Consumer Cyclical,Italy,MIL,14975337472,FTSE MIB Index,FTSEMIB.MI,40,1.86
UNIPOL,UNI.MI,UNI,Financial Services,Italy,MIL,12214296576,FTSE MIB Index,FTSEMIB.MI,40,1.52
FINECOBANK,FBK.MI,FBK,Financial Services,Italy,MIL,11584753664,FTSE MIB Index,FTSEMIB.MI,40,1.44
BPER BANCA,BPE.MI,BPE,Financial Services,Italy,MIL,10843342848,FTSE MIB Index,FTSEMIB.MI,40,1.35
RECORDATI ORD,REC.MI,REC,Healthcare,Italy,MIL,10743490560,FTSE MIB Index,FTSEMIB.MI,40,1.34
BANCA MEDIOLANUM,BMED.MI,BMED,Financial Services,Italy,MIL,10657337344,FTSE MIB Index,FTSEMIB.MI,40,1.32
INWIT,INW.MI,INW,Real Estate,Italy,MIL,9559317504,FTSE MIB Index,FTSEMIB.MI,40,1.19
BANCA MONTE PASCHI SIENA,BMPS.MI,BMPS,Financial Services,Italy,MIL,8932461568,FTSE MIB Index,FTSEMIB.MI,40,1.11
BUZZI,BZU.MI,BZU,Basic Materials,Italy,MIL,8066473984,FTSE MIB Index,FTSEMIB.MI,40,1.0
TELECOM ITALIA,TIT.MI,TIT,Communication Services,Italy,MIL,8343501824,FTSE MIB Index,FTSEMIB.MI,40,1.04
BRUNELLO CUCINELLI,BC.MI,BC,Consumer Cyclical,Italy,MIL,7269572608,FTSE MIB Index,FTSEMIB.MI,40,0.9
A2A,A2A.MI,A2A,Utilities,Italy,MIL,7152433664,FTSE MIB Index,FTSEMIB.MI,40,0.89
ITALGAS,IG.MI,IG,Utilities,Italy,MIL,5943148544,FTSE MIB Index,FTSEMIB.MI,40,0.74
CAMPARI,CPR.MI,CPR,Consumer Defensive,Italy,MIL,6934815232,FTSE MIB Index,FTSEMIB.MI,40,0.86
NEXI,NEXI.MI,NEXI,Technology,Italy,MIL,6521894400,FTSE MIB Index,FTSEMIB.MI,40,0.81
HERA,HER.MI,HER,Utilities,Italy,MIL,6369249792,FTSE MIB Index,FTSEMIB.MI,40,0.79
PIRELLI & C,PIRC.MI,PIRC,Consumer Cyclical,Italy,MIL,6216000000,FTSE MIB Index,FTSEMIB.MI,40,0.77
IVECO GROUP,IVG.MI,IVG,Industrials,Italy,MIL,4611798528,FTSE MIB Index,FTSEMIB.MI,40,0.57
BCA POP SONDRIO,BPSO.MI,BPSO,Financial Services,Italy,MIL,5305261056,FTSE MIB Index,FTSEMIB.MI,40,0.66
DIASORIN,DIA.MI,DIA,Healthcare,Italy,MIL,4896627200,FTSE MIB Index,FTSEMIB.MI,40,0.61
AMPLIFON,AMP.MI,AMP,Healthcare,Italy,MIL,4649303040,FTSE MIB Index,FTSEMIB.MI,40,0.58
SAIPEM,SPM.MI,SPM,Energy,Italy,MIL,4446872064,FTSE MIB Index,FTSEMIB.MI,40,0.55
INTERPUMP GROUP,IP.MI,IP,Industrials,Italy,MIL,3720585728,FTSE MIB Index,FTSEMIB.MI,40,0.46
AZIMUT,AZM.MI,AZM,Financial Services,Italy,MIL,3617319168,FTSE MIB Index,FTSEMIB.MI,40,0.45
