Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
TOYOTA MOTOR CORP,7203.T,7203,Consumer Cyclical,Japan,JPX,35507589349376,Nikkei 225,^N225,225,5.25
SONY GROUP CORPORATION,6758.T,6758,Technology,Japan,JPX,23167900844032,Nikkei 225,^N225,225,3.43
MITSUBISHI UFJ FINANCIAL GROUP ,8306.T,8306,Financial Services,Japan,JPX,22788622516224,Nikkei 225,^N225,225,3.37
HITACHI,6501.T,6501,Industrials,Japan,JPX,18270478401536,Nikkei 225,^N225,225,2.7
FAST RETAILING CO LTD,9983.T,9983,Consumer Cyclical,Japan,JPX,15054186479616,Nikkei 225,^N225,225,2.23
KEYENCE CORP,6861.T,6861,Technology,Japan,JPX,14430236573696,Nikkei 225,^N225,225,2.14
SUMITOMO MITSUI FINANCIAL GROUP,8316.T,8316,Financial Services,Japan,JPX,14212934926336,Nikkei 225,^N225,225,2.1
NINTENDO CO LTD,7974.T,7974,Communication Services,Japan,JPX,14075782234112,Nikkei 225,^N225,225,2.08
NIPPON TEL & TEL CORP,9432.T,9432,Communication Services,Japan,JPX,13114019938304,Nikkei 225,^N225,225,1.94
CHUGAI PHARMACEUTICAL CO,4519.T,4519,Healthcare,Japan,JPX,12261439569920,Nikkei 225,^N225,225,1.81
RECRUIT HOLDINGS CO LTD,6098.T,6098,Communication Services,Japan,JPX,11996283011072,Nikkei 225,^N225,225,1.77
TOKIO MARINE HOLDINGS INC,8766.T,8766,Financial Services,Japan,JPX,12034854879232,Nikkei 225,^N225,225,1.78
MITSUBISHI HEAVY INDUSTRIES,7011.T,7011,Industrials,Japan,JPX,11469527711744,Nikkei 225,^N225,225,1.7
MITSUBISHI CORP,8058.T,8058,Industrials,Japan,JPX,11464164245504,Nikkei 225,^N225,225,1.7
ITOCHU CORP,8001.T,8001,Industrials,Japan,JPX,10658944909312,Nikkei 225,^N225,225,1.58
SOFTBANK GROUP CORP,9984.T,9984,Communication Services,Japan,JPX,10662154600448,Nikkei 225,^N225,225,1.58
SOFTBANK CORP.,9434.T,9434,Communication Services,Japan,JPX,10441428303872,Nikkei 225,^N225,225,1.54
TOKYO ELECTRON,8035.T,8035,Technology,Japan,JPX,10307475865600,Nikkei 225,^N225,225,1.53
MIZUHO FINANCIAL GROUP,8411.T,8411,Financial Services,Japan,JPX,9987888775168,Nikkei 225,^N225,225,1.48
KDDI CORPORATION,9433.T,9433,Communication Services,Japan,JPX,9663679561728,Nikkei 225,^N225,225,1.43
SHIN-ETSU CHEMICAL CO,4063.T,4063,Basic Materials,Japan,JPX,8970507911168,Nikkei 225,^N225,225,1.33
