Short_Name_Stocks,Ticker_Stocks_Yf,Ticker_Stocks,Secteur_Activite,Pays_Stocks,Place_Boursiere,Capitalisation_Boursiere,Nom_Indice,Ticker_Indice_Yf,Nombres_Entreprises,Ponderation
AstraZeneca PLC,AZN.ST,AZN,Healthcare,United Kingdom,STO,2160231579648,OMX Stockholm 30,^OMXS30,30,21.17
ABB Ltd,ABB.ST,ABB,Industrials,Switzerland,STO,1008710909952,OMX Stockholm 30,^OMXS30,30,9.88
Investor AB ser. B,INVE-B.ST,INVE-B,Financial Services,Sweden,STO,863827460096,OMX Stockholm 30,^OMXS30,30,8.46
Atlas Copco AB ser. B,ATCO-B.ST,ATCO-B,Industrials,Sweden,STO,730419101696,OMX Stockholm 30,^OMXS30,30,7.16
Atlas Copco AB ser. A,ATCO-A.ST,ATCO-A,Industrials,Sweden,STO,733985570816,OMX Stockholm 30,^OMXS30,30,7.19
"Volvo, AB ser. B",VOLV-B.ST,VOLV-B,Industrials,Sweden,STO,528126640128,OMX Stockholm 30,^OMXS30,30,5.17
Nordea Bank Abp,NDA-SE.ST,NDA-SE,Financial Services,Finland,STO,481054588928,OMX Stockholm 30,^OMXS30,30,4.71
Skandinaviska Enskilda Banken s,SEB-A.ST,SEB-A,Financial Services,Sweden,STO,320341934080,OMX Stockholm 30,^OMXS30,30,3.14
ASSA ABLOY AB ser. B,ASSA-B.ST,ASSA-B,Industrials,Sweden,STO,337566040064,OMX Stockholm 30,^OMXS30,30,3.31
Swedbank AB ser A,SWED-A.ST,SWED-A,Financial Services,Sweden,STO,288880852992,OMX Stockholm 30,^OMXS30,30,2.83
"Ericsson, Telefonab. L M ser. B",ERIC-B.ST,ERIC-B,Technology,Sweden,STO,275057311744,OMX Stockholm 30,^OMXS30,30,2.7
SAAB AB ser. B,SAAB-B.ST,SAAB-B,Industrials,Sweden,STO,261673304064,OMX Stockholm 30,^OMXS30,30,2.56
Sandvik AB,SAND.ST,SAND,Industrials,Sweden,STO,266056122368,OMX Stockholm 30,^OMXS30,30,2.61
Svenska Handelsbanken ser. A,SHB-A.ST,SHB-A,Financial Services,Sweden,STO,255876743168,OMX Stockholm 30,^OMXS30,30,2.51
Hexagon AB ser. B,HEXA-B.ST,HEXA-B,Technology,Sweden,STO,260492230656,OMX Stockholm 30,^OMXS30,30,2.55
"Hennes & Mauritz AB, H & M ser.",HM-B.ST,HM-B,Consumer Cyclical,Sweden,STO,219815133184,OMX Stockholm 30,^OMXS30,30,2.15
Essity AB ser. B,ESSITY-B.ST,ESSITY-B,Consumer Defensive,Sweden,STO,191196397568,OMX Stockholm 30,^OMXS30,30,1.87
Alfa Laval AB,ALFA.ST,ALFA,Industrials,Sweden,STO,170496983040,OMX Stockholm 30,^OMXS30,30,1.67
Telia Company AB,TELIA.ST,TELIA,Communication Services,Sweden,STO,145684676608,OMX Stockholm 30,^OMXS30,30,1.43
Evolution AB,EVO.ST,EVO,Consumer Cyclical,Sweden,STO,132848271360,OMX Stockholm 30,^OMXS30,30,1.3
Tele2 AB ser. B,TEL2-B.ST,TEL2-B,Communication Services,Sweden,STO,99333283840,OMX Stockholm 30,^OMXS30,30,0.97
"SKF, AB ser. B",SKF-B.ST,SKF-B,Industrials,Sweden,STO,95759138816,OMX Stockholm 30,^OMXS30,30,0.94
Svenska Cellulosa AB SCA ser. B,SCA-B.ST,SCA-B,Basic Materials,Sweden,STO,88016625664,OMX Stockholm 30,^OMXS30,30,0.86
Boliden AB,BOL.ST,BOL,Basic Materials,Sweden,STO,86731145216,OMX Stockholm 30,^OMXS30,30,0.85
NIBE Industrier AB ser. B,NIBE-B.ST,NIBE-B,Industrials,Sweden,STO,79271870464,OMX Stockholm 30,^OMXS30,30,0.78
Getinge AB ser. B,GETI-B.ST,GETI-B,Healthcare,Sweden,STO,50197790720,OMX Stockholm 30,^OMXS30,30,0.49
Kinnevik AB ser. B,KINV-B.ST,KINV-B,Financial Services,Sweden,STO,23524220928,OMX Stockholm 30,^OMXS30,30,0.23
Sinch AB,SINCH.ST,SINCH,Communication Services,Sweden,STO,22298073088,OMX Stockholm 30,^OMXS30,30,0.22
"Electrolux, AB ser. B",ELUX-B.ST,ELUX-B,Consumer Cyclical,Sweden,STO,16476328960,OMX Stockholm 30,^OMXS30,30,0.16
Samhällsbyggnadsbo. i Norden A,SBB-B.ST,SBB-B,Real Estate,Sweden,STO,11441321984,OMX Stockholm 30,^OMXS30,30,0.11
