,Short_Name_Cryptos,Ticker_cryptos_Yf,Ticker_Cryptos,Prix_actuel,Capitalisation_Boursiere,Offre_En_Circulation,ATH,MAJ
0,Bitcoin,BTC-USD,btc,107484.0,2146070426142,19943812.0,126080.0,2025-11-03
1,Ethereum,ETH-USD,eth,3698.04,447070715379,120697887.06765,4946.05,2025-11-03
2,Tether,USDT-USD,usdt,1.0,183460057302,183453580925.9606,1.32,2025-11-03
3,XRP,XRP-USD,xrp,2.4,144458986627,60107199237.0,3.65,2025-11-03
4,BNB,BNB-USD,bnb,1009.57,139176167606,137737778.01,1369.99,2025-11-03
5,Solana,SOL-USD,sol,175.05,96736877797,552618338.5349923,293.31,2025-11-03
6,USDC,USDC-USD,usdc,0.999705,75764479963,75786945761.68147,1.17,2025-11-03
7,Lido Staked Ether,STETH-USD,steth,3699.97,31845945862,8590089.302393194,4932.89,2025-11-03
8,TRON,TRX-USD,trx,0.29319,27757511366,94667643663.20201,0.431288,2025-11-03
9,Dogecoin,DOGE-USD,doge,0.173592,26348466833,151591006383.7052,0.731578,2025-11-03
10,Cardano,ADA-USD,ada,0.575653,21069445373,36581028961.5495,3.09,2025-11-03
11,Wrapped stETH,WSTETH-USD,wsteth,4506.21,15067243388,3337498.454224574,7256.02,2025-11-03
12,Wrapped Bitcoin,WBTC-USD,wbtc,107470.0,13624320302,126773.55711131,125932.0,2025-11-03
13,Figure Heloc,FIGR_HELOC-USD,figr_heloc,1.017,13615786436,13388517687.169,1.37,2025-11-02
14,Wrapped Beacon ETH,WBETH-USD,wbeth,4001.01,13060460114,3264280.561369026,5330.78,2025-11-03
15,Chainlink,LINK-USD,link,16.02,11169560170,696849970.4525868,52.7,2025-11-03
16,Hyperliquid,HYPE-USD,hype,41.16,11133851507,270772999.4341414,59.3,2025-11-03
17,Bitcoin Cash,BCH-USD,bch,522.82,10428414443,19947909.27165078,3785.82,2025-11-03
18,Wrapped eETH,WEETH-USD,weeth,3994.38,9816412456,2455586.26881714,5296.78,2025-11-03
19,USDS,USDS-USD,usds,0.999461,9560886476,9556446770.905067,1.057,2025-11-03
20,Stellar,XLM-USD,xlm,0.291219,9338313239,32048598721.26695,0.875563,2025-11-03
21,Ethena USDe,USDE-USD,usde,0.99877,9258983565,9270718182.901604,1.032,2025-11-03
22,Binance Bridged USDT (BNB Smart Chain),BSC-USD-USD,bsc-usd,0.999467,8979424627,8984993194.453934,1.05,2025-11-03
23,LEO Token,LEO-USD,leo,9.58,8832252035,922341852.9,10.14,2025-11-03
24,WETH,WETH-USD,weth,3701.36,8216692734,2215520.55941639,4950.08,2025-11-03
25,Sui,SUI-USD,sui,2.18,8043312231,3681325480.198332,5.35,2025-11-03
26,WhiteBIT Coin,WBT-USD,wbt,54.6,7869990284,144118517.10815412,55.41,2025-11-03
27,Hedera,HBAR-USD,hbar,0.182167,7741398732,42475229929.29777,0.569229,2025-11-03
28,Coinbase Wrapped BTC,CBBTC-USD,cbbtc,107486.0,7712607819,71652.32772575,125954.0,2025-11-03
29,Avalanche,AVAX-USD,avax,17.44,7444680720,426759056.6914781,144.96,2025-11-03
30,Litecoin,LTC-USD,ltc,92.1,7052491995,76476483.23347135,410.26,2025-11-03
31,Zcash,ZEC-USD,zec,391.65,6415107098,16364098.6030448,3191.93,2025-11-03
32,Monero,XMR-USD,xmr,347.27,6405537583,18446744.07370955,542.33,2025-11-03
33,Shiba Inu,SHIB-USD,shib,9.6e-06,5657486237,589245434191652.4,8.616e-05,2025-11-03
34,Toncoin,TON-USD,ton,2.2,5464736680,2486237600.33215,8.25,2025-11-03
35,USDT0,USDT0-USD,usdt0,0.99933,5321232908,5322537563.568366,1.052,2025-11-03
36,Ethena Staked USDe,SUSDE-USD,susde,1.2,4994244120,4156160213.745587,1.29,2025-11-03
37,Cronos,CRO-USD,cro,0.135923,4906009117,36094086182.82921,0.965407,2025-11-03
38,Dai,DAI-USD,dai,0.999316,4550583540,4553698749.196293,1.22,2025-11-03
39,Bittensor,TAO-USD,tao,472.4,4540427705,9597491.0,757.6,2025-11-03
40,Polkadot,DOT-USD,dot,2.76,4201857926,1522267060.0,54.98,2025-11-03
41,Mantle,MNT-USD,mnt,1.28,4180305232,3252944055.73684,2.86,2025-11-03
42,MemeCore,M-USD,m,2.35,3986927387,1697624516.755765,2.96,2025-11-03
43,sUSDS,SUSDS-USD,susds,1.08,3748126865,3469545836.860453,1.11,2025-11-03
44,World Liberty Financial,WLFI-USD,wlfi,0.123914,3380210115,27252938076.800724,0.331336,2025-11-03
45,Aave,AAVE-USD,aave,212.09,3237373724,15261941.45145595,661.69,2025-11-03
46,Uniswap,UNI-USD,uni,5.38,3233554317,600483073.71,44.92,2025-11-03
47,Bitget Token,BGB-USD,bgb,4.28,2997350454,699992035.9787906,8.45,2025-11-03
48,USD1,USD1-USD,usd1,0.999161,2984668056,2987028320.230564,1.025,2025-11-03
49,OKB,OKB-USD,okb,135.31,2840896836,21000000.0,255.5,2025-11-03
