Short_Name_Indice,Ticker_Indice_Yf,Nom_Indice,Devise,Place_Boursiere_Indice,Nombres_Entreprises
Non disponible,^DJI,Dow Jones 30,Non disponible,Non disponible,30
Non disponible,^NDX,NASDAQ 100,Non disponible,Non disponible,100
Non disponible,^FTSE,FTSE 100,Non disponible,Non disponible,99
Non disponible,^AEX,AEX-Index,Non disponible,Non disponible,25
Non disponible,^STOXX50E,STOXX 50,Non disponible,Non disponible,50
Non disponible,^OMXS30,OMX Stockholm 30,Non disponible,Non disponible,30
Non disponible,^BFX,BEL 20,Non disponible,Non disponible,20
Non disponible,^FCHI,CAC 40,Non disponible,Non disponible,40
Non disponible,^OMXH25,OMX Helsinki 25,Non disponible,Non disponible,25
Non disponible,^OMXC25,OMX Copenhagen 25,Non disponible,Non disponible,25
Non disponible,^IBEX,IBEX 35,Non disponible,Non disponible,35
Non disponible,FTSEMIB.MI,FTSE MIB Index,Non disponible,Non disponible,40
Non disponible,^GDAXI,DAX,Non disponible,Non disponible,40
Non disponible,^N225,Nikkei 225,Non disponible,Non disponible,225
Non disponible,^GSPC,S&P 500,Non disponible,Non disponible,503
